# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Bengaluru, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
876014510ffffff,12.88900,77.51312,0,90.6
876014510ffffff,12.88900,77.51312,1,90.4
876014510ffffff,12.88900,77.51312,2,94.2
876014510ffffff,12.88900,77.51312,3,91.9
876014510ffffff,12.88900,77.51312,4,89.6
876014510ffffff,12.88900,77.51312,5,58.1
876014510ffffff,12.88900,77.51312,6,30.1
876014510ffffff,12.88900,77.51312,7,53.5
876014510ffffff,12.88900,77.51312,8,42.1
876014510ffffff,12.88900,77.51312,9,91.5
876014510ffffff,12.88900,77.51312,10,66.3
876014510ffffff,12.88900,77.51312,11,74.0
876014510ffffff,12.88900,77.51312,12,85.6
876014510ffffff,12.88900,77.51312,13,78.5
876014510ffffff,12.88900,77.51312,14,85.6
876014510ffffff,12.88900,77.51312,15,77.3
876014510ffffff,12.88900,77.51312,16,83.2
876014510ffffff,12.88900,77.51312,17,42.1
876014510ffffff,12.88900,77.51312,18,27.8
876014510ffffff,12.88900,77.51312,19,49.0
876014510ffffff,12.88900,77.51312,20,43.2
876014510ffffff,12.88900,77.51312,21,82.8
876014510ffffff,12.88900,77.51312,22,86.4
876014510ffffff,12.88900,77.51312,23,82.4
876014510ffffff,12.88900,77.51312,24,99.2
876014510ffffff,12.88900,77.51312,25,92.2
876014510ffffff,12.88900,77.51312,26,91.4
876014510ffffff,12.88900,77.51312,27,109.2
876014510ffffff,12.88900,77.51312,28,75.0
876014510ffffff,12.88900,77.51312,29,43.1
876014510ffffff,12.88900,77.51312,30,30.9
876014510ffffff,12.88900,77.51312,31,45.3
876014510ffffff,12.88900,77.51312,32,49.0
876014510ffffff,12.88900,77.51312,33,63.4
876014510ffffff,12.88900,77.51312,34,91.0
876014510ffffff,12.88900,77.51312,35,102.1
876014510ffffff,12.88900,77.51312,36,100.9
876014510ffffff,12.88900,77.51312,37,93.5
876014510ffffff,12.88900,77.51312,38,106.7
876014510ffffff,12.88900,77.51312,39,99.6
876014510ffffff,12.88900,77.51312,40,80.2
876014510ffffff,12.88900,77.51312,41,49.9
876014511ffffff,12.88159,77.49197,0,90.6
876014511ffffff,12.88159,77.49197,1,90.4
876014511ffffff,12.88159,77.49197,2,94.2
876014511ffffff,12.88159,77.49197,3,91.9
876014511ffffff,12.88159,77.49197,4,89.6
876014511ffffff,12.88159,77.49197,5,58.1
876014511ffffff,12.88159,77.49197,6,30.1
876014511ffffff,12.88159,77.49197,7,53.5
876014511ffffff,12.88159,77.49197,8,42.1
876014511ffffff,12.88159,77.49197,9,91.5
876014511ffffff,12.88159,77.49197,10,66.3
876014511ffffff,12.88159,77.49197,11,74.0
876014511ffffff,12.88159,77.49197,12,85.6
876014511ffffff,12.88159,77.49197,13,78.5
876014511ffffff,12.88159,77.49197,14,85.6
876014511ffffff,12.88159,77.49197,15,77.3
876014511ffffff,12.88159,77.49197,16,83.2
876014511ffffff,12.88159,77.49197,17,42.1
876014511ffffff,12.88159,77.49197,18,27.8
876014511ffffff,12.88159,77.49197,19,49.0
876014511ffffff,12.88159,77.49197,20,43.2
876014511ffffff,12.88159,77.49197,21,82.8
876014511ffffff,12.88159,77.49197,22,86.4
876014511ffffff,12.88159,77.49197,23,82.4
876014511ffffff,12.88159,77.49197,24,99.2
876014511ffffff,12.88159,77.49197,25,92.2
876014511ffffff,12.88159,77.49197,26,91.4
876014511ffffff,12.88159,77.49197,27,109.2
876014511ffffff,12.88159,77.49197,28,75.0
876014511ffffff,12.88159,77.49197,29,43.1
876014511ffffff,12.88159,77.49197,30,30.9
876014511ffffff,12.88159,77.49197,31,45.3
876014511ffffff,12.88159,77.49197,32,49.0
876014511ffffff,12.88159,77.49197,33,63.4
876014511ffffff,12.88159,77.49197,34,91.0
876014511ffffff,12.88159,77.49197,35,102.1
876014511ffffff,12.88159,77.49197,36,100.9
876014511ffffff,12.88159,77.49197,37,93.5
876014511ffffff,12.88159,77.49197,38,106.7
876014511ffffff,12.88159,77.49197,39,99.6
876014511ffffff,12.88159,77.49197,40,80.2
876014511ffffff,12.88159,77.49197,41,49.9
876014512ffffff,12.91142,77.51770,0,90.6
876014512ffffff,12.91142,77.51770,1,90.4
876014512ffffff,12.91142,77.51770,2,94.2
876014512ffffff,12.91142,77.51770,3,91.9
876014512ffffff,12.91142,77.51770,4,89.6
876014512ffffff,12.91142,77.51770,5,58.1
876014512ffffff,12.91142,77.51770,6,30.1
876014512ffffff,12.91142,77.51770,7,53.5
876014512ffffff,12.91142,77.51770,8,42.1
876014512ffffff,12.91142,77.51770,9,91.5
876014512ffffff,12.91142,77.51770,10,66.3
876014512ffffff,12.91142,77.51770,11,74.0
876014512ffffff,12.91142,77.51770,12,85.6
876014512ffffff,12.91142,77.51770,13,78.5
876014512ffffff,12.91142,77.51770,14,85.6
876014512ffffff,12.91142,77.51770,15,77.3
876014512ffffff,12.91142,77.51770,16,83.2
876014512ffffff,12.91142,77.51770,17,42.1
876014512ffffff,12.91142,77.51770,18,27.8
876014512ffffff,12.91142,77.51770,19,49.0
876014512ffffff,12.91142,77.51770,20,43.2
876014512ffffff,12.91142,77.51770,21,82.8
876014512ffffff,12.91142,77.51770,22,86.4
