# Real monthly NDVI from NASA MOD13Q1 250m 16-day via ORNL DAAC (no key).
# Bengaluru, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,ndvi
876014510ffffff,12.88900,77.51312,0,0.4995
876014510ffffff,12.88900,77.51312,1,0.4234
876014510ffffff,12.88900,77.51312,2,0.4313
876014510ffffff,12.88900,77.51312,3,0.4409
876014510ffffff,12.88900,77.51312,4,0.6125
876014510ffffff,12.88900,77.51312,5,0.4755
876014510ffffff,12.88900,77.51312,6,0.3218
876014510ffffff,12.88900,77.51312,7,0.5242
876014510ffffff,12.88900,77.51312,8,0.5684
876014510ffffff,12.88900,77.51312,9,0.6396
876014510ffffff,12.88900,77.51312,10,0.6043
876014510ffffff,12.88900,77.51312,11,0.5051
876014510ffffff,12.88900,77.51312,12,0.4117
876014510ffffff,12.88900,77.51312,13,0.3555
876014510ffffff,12.88900,77.51312,14,0.3497
876014510ffffff,12.88900,77.51312,15,0.3494
876014510ffffff,12.88900,77.51312,16,0.4619
876014510ffffff,12.88900,77.51312,17,0.5008
876014510ffffff,12.88900,77.51312,18,0.3105
876014510ffffff,12.88900,77.51312,19,0.5149
876014510ffffff,12.88900,77.51312,20,0.5952
876014510ffffff,12.88900,77.51312,21,0.6407
876014510ffffff,12.88900,77.51312,22,0.6049
876014510ffffff,12.88900,77.51312,23,0.5961
876014510ffffff,12.88900,77.51312,24,0.5059
876014510ffffff,12.88900,77.51312,25,0.4329
876014510ffffff,12.88900,77.51312,26,0.4259
876014510ffffff,12.88900,77.51312,27,0.4549
876014510ffffff,12.88900,77.51312,28,0.5325
876014510ffffff,12.88900,77.51312,29,0.3825
876014510ffffff,12.88900,77.51312,30,0.1825
876014510ffffff,12.88900,77.51312,31,0.5666
876014510ffffff,12.88900,77.51312,32,0.4425
876014510ffffff,12.88900,77.51312,33,0.6172
876014510ffffff,12.88900,77.51312,34,0.625
876014510ffffff,12.88900,77.51312,35,0.5268
876014510ffffff,12.88900,77.51312,36,0.4409
876014510ffffff,12.88900,77.51312,37,0.3734
876014510ffffff,12.88900,77.51312,38,0.4119
876014510ffffff,12.88900,77.51312,39,0.4225
876014510ffffff,12.88900,77.51312,40,0.5228
876014510ffffff,12.88900,77.51312,41,0.5399
876014511ffffff,12.88159,77.49197,0,0.4639
876014511ffffff,12.88159,77.49197,1,0.3827
876014511ffffff,12.88159,77.49197,2,0.4222
876014511ffffff,12.88159,77.49197,3,0.4235
876014511ffffff,12.88159,77.49197,4,0.5884
876014511ffffff,12.88159,77.49197,5,0.465
876014511ffffff,12.88159,77.49197,6,0.3319
876014511ffffff,12.88159,77.49197,7,0.5295
876014511ffffff,12.88159,77.49197,8,0.5766
876014511ffffff,12.88159,77.49197,9,0.6145
876014511ffffff,12.88159,77.49197,10,0.5745
876014511ffffff,12.88159,77.49197,11,0.466
876014511ffffff,12.88159,77.49197,12,0.3848
876014511ffffff,12.88159,77.49197,13,0.3384
876014511ffffff,12.88159,77.49197,14,0.334
876014511ffffff,12.88159,77.49197,15,0.3353
876014511ffffff,12.88159,77.49197,16,0.4428
876014511ffffff,12.88159,77.49197,17,0.4909
876014511ffffff,12.88159,77.49197,18,0.2593
876014511ffffff,12.88159,77.49197,19,0.5273
876014511ffffff,12.88159,77.49197,20,0.5456
876014511ffffff,12.88159,77.49197,21,0.6416
876014511ffffff,12.88159,77.49197,22,0.5958
876014511ffffff,12.88159,77.49197,23,0.5655
876014511ffffff,12.88159,77.49197,24,0.4567
876014511ffffff,12.88159,77.49197,25,0.3823
876014511ffffff,12.88159,77.49197,26,0.3916
876014511ffffff,12.88159,77.49197,27,0.4276
876014511ffffff,12.88159,77.49197,28,0.4964
876014511ffffff,12.88159,77.49197,29,0.3678
876014511ffffff,12.88159,77.49197,30,0.2136
876014511ffffff,12.88159,77.49197,31,0.5685
876014511ffffff,12.88159,77.49197,32,0.44
876014511ffffff,12.88159,77.49197,33,0.6351
876014511ffffff,12.88159,77.49197,34,0.6057
876014511ffffff,12.88159,77.49197,35,0.4834
876014511ffffff,12.88159,77.49197,36,0.406
876014511ffffff,12.88159,77.49197,37,0.3571
876014511ffffff,12.88159,77.49197,38,0.3998
876014511ffffff,12.88159,77.49197,39,0.4113
876014511ffffff,12.88159,77.49197,40,0.4992
876014511ffffff,12.88159,77.49197,41,0.5441
876014512ffffff,12.91142,77.51770,0,0.3571
876014512ffffff,12.91142,77.51770,1,0.3134
876014512ffffff,12.91142,77.51770,2,0.3523
876014512ffffff,12.91142,77.51770,3,0.3466
876014512ffffff,12.91142,77.51770,4,0.4173
876014512ffffff,12.91142,77.51770,5,0.3532
876014512ffffff,12.91142,77.51770,6,0.2605
876014512ffffff,12.91142,77.51770,7,0.3851
876014512ffffff,12.91142,77.51770,8,0.3806
876014512ffffff,12.91142,77.51770,9,0.4301
876014512ffffff,12.91142,77.51770,10,0.406
876014512ffffff,12.91142,77.51770,11,0.3652
876014512ffffff,12.91142,77.51770,12,0.3162
