# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Bengaluru. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
876014510ffffff,12.889,77.51312,65.0,576.0,212.5,211.0,157.0,139.5
876014511ffffff,12.88159,77.49197,65.0,600.5,200.0,199.5,152.0,141.5
876014512ffffff,12.91142,77.5177,65.0,597.0,186.0,217.0,152.5,133.5
876014513ffffff,12.90401,77.49654,65.0,602.0,178.5,219.5,158.0,129.5
876014514ffffff,12.87398,77.52971,64.0,589.5,207.0,203.5,151.5,135.5
876014516ffffff,12.8964,77.53429,65.0,602.0,181.0,217.0,153.5,146.0
876014581ffffff,12.98628,77.49369,65.0,591.5,181.5,228.0,162.0,142.5
876014583ffffff,13.0087,77.49827,64.0,597.0,184.5,219.0,162.5,147.5
876014585ffffff,12.97128,77.51028,64.5,585.0,168.5,246.0,176.5,119.5
876014590ffffff,13.04596,77.5452,63.0,552.5,208.5,238.5,257.0,227.5
876014592ffffff,13.06839,77.54978,64.0,552.0,211.5,236.0,222.5,162.5
876014593ffffff,13.06097,77.5286,63.0,606.5,172.0,221.5,187.5,169.5
876014595ffffff,13.02354,77.54061,63.0,572.5,205.0,223.0,177.5,120.5
876014596ffffff,13.05338,77.56638,64.0,561.0,207.0,232.0,198.5,189.5
876014598ffffff,13.04612,77.48626,63.5,602.0,186.0,212.5,169.0,137.5
87601459affffff,13.06854,77.49084,64.5,628.5,158.5,213.0,161.0,128.5
87601459cffffff,13.03112,77.50285,64.5,619.0,164.5,216.5,146.0,123.5
87601459dffffff,13.0237,77.48168,64.0,624.5,149.0,226.5,138.5,116.0
87601459effffff,13.05354,77.50743,64.0,613.0,166.5,219.5,191.5,161.5
8760145a1ffffff,12.93384,77.52228,64.5,544.0,222.5,233.5,175.0,131.5
8760145a5ffffff,12.91883,77.53887,64.0,596.5,182.0,221.5,197.0,131.5
8760145a8ffffff,12.94144,77.48454,65.5,574.0,205.5,220.5,149.5,136.5
8760145aaffffff,12.96386,77.48911,64.0,610.5,174.5,214.5,162.0,140.0
8760145acffffff,12.92643,77.50112,65.0,592.5,192.5,215.0,165.0,125.0
8760145aeffffff,12.94885,77.5057,64.0,619.0,177.5,204.0,147.0,135.0
876016960ffffff,13.09824,77.57556,65.0,587.5,189.0,223.5,185.0,155.5
876016961ffffff,13.09081,77.55437,64.0,619.0,159.0,222.0,145.0,107.0
876016964ffffff,13.08323,77.59216,65.0,587.5,197.0,215.5,165.5,119.5
876016965ffffff,13.07581,77.57097,64.0,588.0,201.5,210.5,184.5,116.5
876016968ffffff,13.09839,77.51659,65.0,598.5,166.0,235.5,169.5,143.0
876016969ffffff,13.09096,77.49542,65.0,611.0,161.0,228.0,166.0,135.0
87601696cffffff,13.08339,77.53318,64.5,635.0,152.5,213.0,161.5,130.5
87601696dffffff,13.07596,77.51201,64.0,610.5,181.5,208.0,150.5,144.0
876189208ffffff,12.94059,77.72043,64.0,489.5,225.5,285.0,201.5,175.0
876189209ffffff,12.93319,77.69921,68.0,506.0,210.0,284.0,152.5,130.5
87618920affffff,12.96304,77.72503,65.0,528.0,200.5,271.5,165.5,135.0
87618920cffffff,12.92555,77.73704,66.0,532.5,201.5,266.0,139.5,128.0
87618920dffffff,12.91815,77.71582,65.0,543.5,206.5,250.0,135.0,150.0
87618920effffff,12.94799,77.74165,65.0,510.5,239.0,251.0,160.0,124.0
876189219ffffff,12.98548,77.72964,66.0,561.0,182.5,256.5,134.5,133.0
87618921bffffff,13.00793,77.73425,65.5,564.5,190.0,245.5,142.0,138.5
87618921dffffff,12.97044,77.74626,65.0,541.0,208.0,251.0,163.5,140.0
876189228ffffff,12.88805,77.74905,66.0,520.0,213.0,267.0,142.0,118.5
876189229ffffff,12.88065,77.72783,66.0,524.0,219.0,257.0,147.0,117.0
87618922bffffff,12.9031,77.73244,66.0,533.5,221.0,245.5,135.5,127.0
876189241ffffff,12.88115,77.60982,65.0,565.0,192.0,243.0,156.0,162.0
876189244ffffff,12.87351,77.64761,65.0,566.0,205.0,229.0,183.5,144.0
876189246ffffff,12.89595,77.6522,63.0,567.0,181.0,252.5,151.5,133.5
876189249ffffff,12.88138,77.55087,64.0,595.0,200.5,204.5,173.0,138.5
87618924effffff,12.89618,77.59323,63.0,545.0,200.0,255.0,217.0,193.5
876189250ffffff,12.94082,77.6614,67.0,522.0,223.5,254.0,363.0,141.5
876189251ffffff,12.93342,77.6402,65.0,530.0,213.5,256.5,190.5,151.0
876189252ffffff,12.96326,77.666,67.0,500.5,227.5,272.5,168.0,125.0
876189253ffffff,12.95586,77.64479,66.0,519.5,229.0,251.5,172.0,130.5
876189254ffffff,12.92579,77.678,65.0,494.5,238.0,267.0,383.5,169.5
876189255ffffff,12.91839,77.6568,64.0,519.0,228.5,252.0,164.5,150.0
876189256ffffff,12.94823,77.6826,65.0,494.0,236.0,270.5,178.0,125.0
876189259ffffff,12.93364,77.58122,64.0,529.0,211.0,260.5,205.0,168.5
87618925effffff,12.94845,77.6236,65.0,507.5,234.0,259.0,152.0,136.5
876189270ffffff,12.88831,77.69001,65.0,529.0,222.5,249.0,332.0,123.0
876189271ffffff,12.88091,77.66881,65.0,581.5,181.0,237.5,140.0,125.5
876189272ffffff,12.91075,77.69461,65.0,548.0,190.5,261.5,138.5,124.5
876189273ffffff,12.90335,77.6734,65.5,546.0,202.5,251.5,139.5,123.0
876189274ffffff,12.87326,77.70662,65.0,525.0,222.5,252.5,136.0,140.0
876189276ffffff,12.8957,77.71122,64.5,537.0,208.5,255.0,158.5,132.5
876189289ffffff,13.0903,77.73145,64.0,604.5,153.0,242.5,136.5,97.0
87618928dffffff,13.07527,77.74808,67.0,622.0,158.0,220.0,126.0,118.0
8761892c0ffffff,13.04561,77.66318,65.0,544.0,206.5,249.5,169.0,157.5
8761892c2ffffff,13.06804,77.66778,66.0,600.5,174.0,225.5,146.5,117.5
