# INERT PLACEHOLDER — NOT real data. No free historical traffic source exists.
# Flat value on every cell/month; MCDA traffic weight is set to 0 so this
# NEVER influences any ranking. Present only to keep the 3-stream shape.
zone,lat,lon,month,traffic
876014510ffffff,12.889,77.51312,0,50.0
876014510ffffff,12.889,77.51312,1,50.0
876014510ffffff,12.889,77.51312,2,50.0
876014510ffffff,12.889,77.51312,3,50.0
876014510ffffff,12.889,77.51312,4,50.0
876014510ffffff,12.889,77.51312,5,50.0
876014510ffffff,12.889,77.51312,6,50.0
876014510ffffff,12.889,77.51312,7,50.0
876014510ffffff,12.889,77.51312,8,50.0
876014510ffffff,12.889,77.51312,9,50.0
876014510ffffff,12.889,77.51312,10,50.0
876014510ffffff,12.889,77.51312,11,50.0
876014510ffffff,12.889,77.51312,12,50.0
876014510ffffff,12.889,77.51312,13,50.0
876014510ffffff,12.889,77.51312,14,50.0
876014510ffffff,12.889,77.51312,15,50.0
876014510ffffff,12.889,77.51312,16,50.0
876014510ffffff,12.889,77.51312,17,50.0
876014510ffffff,12.889,77.51312,18,50.0
876014510ffffff,12.889,77.51312,19,50.0
876014510ffffff,12.889,77.51312,20,50.0
876014510ffffff,12.889,77.51312,21,50.0
876014510ffffff,12.889,77.51312,22,50.0
876014510ffffff,12.889,77.51312,23,50.0
876014510ffffff,12.889,77.51312,24,50.0
876014510ffffff,12.889,77.51312,25,50.0
876014510ffffff,12.889,77.51312,26,50.0
876014510ffffff,12.889,77.51312,27,50.0
876014510ffffff,12.889,77.51312,28,50.0
876014510ffffff,12.889,77.51312,29,50.0
876014510ffffff,12.889,77.51312,30,50.0
876014510ffffff,12.889,77.51312,31,50.0
876014510ffffff,12.889,77.51312,32,50.0
876014510ffffff,12.889,77.51312,33,50.0
876014510ffffff,12.889,77.51312,34,50.0
876014510ffffff,12.889,77.51312,35,50.0
876014510ffffff,12.889,77.51312,36,50.0
876014510ffffff,12.889,77.51312,37,50.0
876014510ffffff,12.889,77.51312,38,50.0
876014510ffffff,12.889,77.51312,39,50.0
876014510ffffff,12.889,77.51312,40,50.0
