# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Chennai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87618c411ffffff,12.96292,80.30413,0,106.6
87618c411ffffff,12.96292,80.30413,1,91.8
87618c411ffffff,12.96292,80.30413,2,79.0
87618c411ffffff,12.96292,80.30413,3,71.9
87618c411ffffff,12.96292,80.30413,4,99.5
87618c411ffffff,12.96292,80.30413,5,96.8
87618c411ffffff,12.96292,80.30413,6,62.8
87618c411ffffff,12.96292,80.30413,7,76.5
87618c411ffffff,12.96292,80.30413,8,68.9
87618c411ffffff,12.96292,80.30413,9,84.5
87618c411ffffff,12.96292,80.30413,10,64.8
87618c411ffffff,12.96292,80.30413,11,84.0
87618c411ffffff,12.96292,80.30413,12,91.4
87618c411ffffff,12.96292,80.30413,13,76.9
87618c411ffffff,12.96292,80.30413,14,76.9
87618c411ffffff,12.96292,80.30413,15,64.9
87618c411ffffff,12.96292,80.30413,16,64.4
87618c411ffffff,12.96292,80.30413,17,72.3
87618c411ffffff,12.96292,80.30413,18,62.2
87618c411ffffff,12.96292,80.30413,19,66.3
87618c411ffffff,12.96292,80.30413,20,68.7
87618c411ffffff,12.96292,80.30413,21,70.6
87618c411ffffff,12.96292,80.30413,22,77.7
87618c411ffffff,12.96292,80.30413,23,71.7
87618c411ffffff,12.96292,80.30413,24,94.3
87618c411ffffff,12.96292,80.30413,25,83.2
87618c411ffffff,12.96292,80.30413,26,65.2
87618c411ffffff,12.96292,80.30413,27,67.7
87618c411ffffff,12.96292,80.30413,28,79.1
87618c411ffffff,12.96292,80.30413,29,71.0
87618c411ffffff,12.96292,80.30413,30,60.6
87618c411ffffff,12.96292,80.30413,31,70.2
87618c411ffffff,12.96292,80.30413,32,68.0
87618c411ffffff,12.96292,80.30413,33,60.6
87618c411ffffff,12.96292,80.30413,34,87.7
87618c411ffffff,12.96292,80.30413,35,102.7
87618c411ffffff,12.96292,80.30413,36,102.0
87618c411ffffff,12.96292,80.30413,37,89.8
87618c411ffffff,12.96292,80.30413,38,68.2
87618c411ffffff,12.96292,80.30413,39,53.2
87618c411ffffff,12.96292,80.30413,40,70.9
87618c411ffffff,12.96292,80.30413,41,73.7
87618c413ffffff,12.98562,80.30905,0,106.6
87618c413ffffff,12.98562,80.30905,1,91.8
87618c413ffffff,12.98562,80.30905,2,79.0
87618c413ffffff,12.98562,80.30905,3,71.9
87618c413ffffff,12.98562,80.30905,4,99.5
87618c413ffffff,12.98562,80.30905,5,96.8
87618c413ffffff,12.98562,80.30905,6,62.8
87618c413ffffff,12.98562,80.30905,7,76.5
87618c413ffffff,12.98562,80.30905,8,68.9
87618c413ffffff,12.98562,80.30905,9,84.5
87618c413ffffff,12.98562,80.30905,10,64.8
87618c413ffffff,12.98562,80.30905,11,84.0
87618c413ffffff,12.98562,80.30905,12,91.4
87618c413ffffff,12.98562,80.30905,13,76.9
87618c413ffffff,12.98562,80.30905,14,76.9
87618c413ffffff,12.98562,80.30905,15,64.9
87618c413ffffff,12.98562,80.30905,16,64.4
87618c413ffffff,12.98562,80.30905,17,72.3
87618c413ffffff,12.98562,80.30905,18,62.2
87618c413ffffff,12.98562,80.30905,19,66.3
87618c413ffffff,12.98562,80.30905,20,68.7
87618c413ffffff,12.98562,80.30905,21,70.6
87618c413ffffff,12.98562,80.30905,22,77.7
87618c413ffffff,12.98562,80.30905,23,71.7
87618c413ffffff,12.98562,80.30905,24,94.3
87618c413ffffff,12.98562,80.30905,25,83.2
87618c413ffffff,12.98562,80.30905,26,65.2
87618c413ffffff,12.98562,80.30905,27,67.7
87618c413ffffff,12.98562,80.30905,28,79.1
87618c413ffffff,12.98562,80.30905,29,71.0
87618c413ffffff,12.98562,80.30905,30,60.6
87618c413ffffff,12.98562,80.30905,31,70.2
87618c413ffffff,12.98562,80.30905,32,68.0
87618c413ffffff,12.98562,80.30905,33,60.6
87618c413ffffff,12.98562,80.30905,34,87.7
87618c413ffffff,12.98562,80.30905,35,102.7
87618c413ffffff,12.98562,80.30905,36,102.0
87618c413ffffff,12.98562,80.30905,37,89.8
87618c413ffffff,12.98562,80.30905,38,68.2
87618c413ffffff,12.98562,80.30905,39,53.2
87618c413ffffff,12.98562,80.30905,40,70.9
87618c413ffffff,12.98562,80.30905,41,73.7
87618c418ffffff,12.97103,80.26535,0,106.6
87618c418ffffff,12.97103,80.26535,1,91.8
87618c418ffffff,12.97103,80.26535,2,79.0
87618c418ffffff,12.97103,80.26535,3,71.9
87618c418ffffff,12.97103,80.26535,4,99.5
87618c418ffffff,12.97103,80.26535,5,96.8
87618c418ffffff,12.97103,80.26535,6,62.8
87618c418ffffff,12.97103,80.26535,7,76.5
87618c418ffffff,12.97103,80.26535,8,68.9
87618c418ffffff,12.97103,80.26535,9,84.5
87618c418ffffff,12.97103,80.26535,10,64.8
87618c418ffffff,12.97103,80.26535,11,84.0
87618c418ffffff,12.97103,80.26535,12,91.4
87618c418ffffff,12.97103,80.26535,13,76.9
87618c418ffffff,12.97103,80.26535,14,76.9
87618c418ffffff,12.97103,80.26535,15,64.9
87618c418ffffff,12.97103,80.26535,16,64.4
