# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Chennai. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
87618c41affffff,12.99373,80.27026,66.0,365.5,308.5,326.0,350.0,261.5
87618c41bffffff,12.98644,80.24841,66.0,374.0,286.0,339.5,277.0,246.5
87618c488ffffff,13.07721,80.26808,67.5,354.5,326.5,318.5,342.5,216.0
87618c49bffffff,13.14529,80.28284,66.5,366.5,311.0,322.5,327.0,248.5
87618c4c0ffffff,13.02531,80.17579,66.5,365.5,308.0,326.0,336.5,198.5
87618c4c1ffffff,13.01801,80.15397,68.5,355.5,289.5,355.0,340.5,203.5
87618c4c4ffffff,13.00993,80.19272,65.5,354.0,286.5,359.5,314.5,227.5
87618c4c5ffffff,13.00263,80.17089,67.5,350.5,300.0,349.0,358.0,190.0
87618c4d1ffffff,13.07069,80.18561,68.5,363.5,291.0,345.5,347.0,208.0
87618c4daffffff,13.10144,80.15175,67.5,342.5,316.0,341.5,334.5,201.5
87618c4deffffff,13.08607,80.16868,68.0,351.5,308.5,340.5,323.0,214.0
87618c4e2ffffff,12.99454,80.20964,65.0,382.0,293.0,325.0,257.0,255.0
87618c4e3ffffff,12.98724,80.18781,64.5,387.5,287.5,325.0,304.0,214.0
87618c4e4ffffff,12.95645,80.22166,66.0,330.5,347.5,322.5,339.5,266.0
87618c4e6ffffff,12.97914,80.22657,64.0,374.0,294.5,331.5,301.5,266.5
87618c4ecffffff,12.95725,80.16108,66.0,355.0,281.0,364.0,352.5,323.0
87618c4eeffffff,12.97994,80.16598,64.5,367.0,294.0,339.0,283.0,243.5
87618c4f0ffffff,13.02452,80.2364,65.5,376.5,294.0,329.5,267.0,245.5
87618c4f1ffffff,13.01723,80.21455,64.0,388.5,295.0,316.5,233.0,224.0
87618c4f4ffffff,13.00913,80.25333,66.5,371.0,303.5,326.0,348.5,241.0
87618c4f5ffffff,13.00183,80.23148,64.5,363.0,295.0,342.0,325.0,254.5
87618eb01ffffff,13.17681,80.18831,68.0,365.0,300.5,334.0,343.0,181.5
87618eb04ffffff,13.16875,80.2271,67.0,335.5,335.0,329.5,345.0,222.0
87618eb05ffffff,13.16144,80.20525,67.5,357.0,313.5,329.5,337.5,194.5
87618eb0cffffff,13.16949,80.16647,68.5,348.5,331.0,320.5,446.0,212.5
87618eb21ffffff,13.12337,80.21727,69.5,366.5,297.5,336.5,290.0,211.0
87618eb23ffffff,13.14606,80.22218,68.5,334.0,335.5,330.5,361.5,208.0
87618eb26ffffff,13.13799,80.26098,63.0,343.5,306.0,350.5,389.5,223.0
87618eb28ffffff,13.13144,80.17849,69.5,349.5,321.5,329.5,280.0,178.0
87618eb29ffffff,13.12412,80.15666,69.5,372.5,308.0,319.5,276.0,199.5
87618eb2bffffff,13.14681,80.16156,68.5,359.5,319.5,321.0,450.0,219.0
87618eb2cffffff,13.11606,80.19542,70.0,366.5,313.5,320.5,296.0,197.0
87618eb2dffffff,13.10875,80.17359,67.0,357.5,323.0,319.5,267.5,194.5
87618eb2effffff,13.13875,80.20034,68.5,355.0,335.5,309.5,313.5,216.0
87618eb31ffffff,13.17606,80.24895,68.5,357.0,311.0,332.0,382.0,218.5
87618eb34ffffff,13.16799,80.28776,70.0,314.5,336.0,349.5,303.0,199.5
87618eb35ffffff,13.16068,80.26589,69.0,344.5,314.0,341.5,344.0,194.0
