# INERT PLACEHOLDER — NOT real data. No free historical traffic source exists.
# Flat value on every cell/month; MCDA traffic weight is set to 0 so this
# NEVER influences any ranking. Present only to keep the 3-stream shape.
zone,lat,lon,month,traffic
87618c411ffffff,12.96292,80.30413,0,50.0
87618c411ffffff,12.96292,80.30413,1,50.0
87618c411ffffff,12.96292,80.30413,2,50.0
87618c411ffffff,12.96292,80.30413,3,50.0
87618c411ffffff,12.96292,80.30413,4,50.0
87618c411ffffff,12.96292,80.30413,5,50.0
87618c411ffffff,12.96292,80.30413,6,50.0
87618c411ffffff,12.96292,80.30413,7,50.0
87618c411ffffff,12.96292,80.30413,8,50.0
87618c411ffffff,12.96292,80.30413,9,50.0
87618c411ffffff,12.96292,80.30413,10,50.0
87618c411ffffff,12.96292,80.30413,11,50.0
87618c411ffffff,12.96292,80.30413,12,50.0
87618c411ffffff,12.96292,80.30413,13,50.0
87618c411ffffff,12.96292,80.30413,14,50.0
87618c411ffffff,12.96292,80.30413,15,50.0
87618c411ffffff,12.96292,80.30413,16,50.0
87618c411ffffff,12.96292,80.30413,17,50.0
87618c411ffffff,12.96292,80.30413,18,50.0
87618c411ffffff,12.96292,80.30413,19,50.0
87618c411ffffff,12.96292,80.30413,20,50.0
87618c411ffffff,12.96292,80.30413,21,50.0
87618c411ffffff,12.96292,80.30413,22,50.0
87618c411ffffff,12.96292,80.30413,23,50.0
87618c411ffffff,12.96292,80.30413,24,50.0
87618c411ffffff,12.96292,80.30413,25,50.0
87618c411ffffff,12.96292,80.30413,26,50.0
87618c411ffffff,12.96292,80.30413,27,50.0
87618c411ffffff,12.96292,80.30413,28,50.0
87618c411ffffff,12.96292,80.30413,29,50.0
87618c411ffffff,12.96292,80.30413,30,50.0
87618c411ffffff,12.96292,80.30413,31,50.0
87618c411ffffff,12.96292,80.30413,32,50.0
87618c411ffffff,12.96292,80.30413,33,50.0
87618c411ffffff,12.96292,80.30413,34,50.0
87618c411ffffff,12.96292,80.30413,35,50.0
87618c411ffffff,12.96292,80.30413,36,50.0
87618c411ffffff,12.96292,80.30413,37,50.0
87618c411ffffff,12.96292,80.30413,38,50.0
87618c411ffffff,12.96292,80.30413,39,50.0
87618c411ffffff,12.96292,80.30413,40,50.0
87618c411ffffff,12.96292,80.30413,41,50.0
87618c413ffffff,12.98562,80.30905,0,50.0
87618c413ffffff,12.98562,80.30905,1,50.0
87618c413ffffff,12.98562,80.30905,2,50.0
87618c413ffffff,12.98562,80.30905,3,50.0
87618c413ffffff,12.98562,80.30905,4,50.0
87618c413ffffff,12.98562,80.30905,5,50.0
87618c413ffffff,12.98562,80.30905,6,50.0
87618c413ffffff,12.98562,80.30905,7,50.0
87618c413ffffff,12.98562,80.30905,8,50.0
87618c413ffffff,12.98562,80.30905,9,50.0
87618c413ffffff,12.98562,80.30905,10,50.0
87618c413ffffff,12.98562,80.30905,11,50.0
87618c413ffffff,12.98562,80.30905,12,50.0
87618c413ffffff,12.98562,80.30905,13,50.0
87618c413ffffff,12.98562,80.30905,14,50.0
87618c413ffffff,12.98562,80.30905,15,50.0
87618c413ffffff,12.98562,80.30905,16,50.0
87618c413ffffff,12.98562,80.30905,17,50.0
87618c413ffffff,12.98562,80.30905,18,50.0
87618c413ffffff,12.98562,80.30905,19,50.0
87618c413ffffff,12.98562,80.30905,20,50.0
87618c413ffffff,12.98562,80.30905,21,50.0
87618c413ffffff,12.98562,80.30905,22,50.0
87618c413ffffff,12.98562,80.30905,23,50.0
87618c413ffffff,12.98562,80.30905,24,50.0
87618c413ffffff,12.98562,80.30905,25,50.0
87618c413ffffff,12.98562,80.30905,26,50.0
87618c413ffffff,12.98562,80.30905,27,50.0
87618c413ffffff,12.98562,80.30905,28,50.0
87618c413ffffff,12.98562,80.30905,29,50.0
87618c413ffffff,12.98562,80.30905,30,50.0
87618c413ffffff,12.98562,80.30905,31,50.0
87618c413ffffff,12.98562,80.30905,32,50.0
87618c413ffffff,12.98562,80.30905,33,50.0
87618c413ffffff,12.98562,80.30905,34,50.0
87618c413ffffff,12.98562,80.30905,35,50.0
87618c413ffffff,12.98562,80.30905,36,50.0
87618c413ffffff,12.98562,80.30905,37,50.0
87618c413ffffff,12.98562,80.30905,38,50.0
87618c413ffffff,12.98562,80.30905,39,50.0
87618c413ffffff,12.98562,80.30905,40,50.0
87618c413ffffff,12.98562,80.30905,41,50.0
87618c418ffffff,12.97103,80.26535,0,50.0
87618c418ffffff,12.97103,80.26535,1,50.0
87618c418ffffff,12.97103,80.26535,2,50.0
87618c418ffffff,12.97103,80.26535,3,50.0
87618c418ffffff,12.97103,80.26535,4,50.0
87618c418ffffff,12.97103,80.26535,5,50.0
87618c418ffffff,12.97103,80.26535,6,50.0
87618c418ffffff,12.97103,80.26535,7,50.0
87618c418ffffff,12.97103,80.26535,8,50.0
87618c418ffffff,12.97103,80.26535,9,50.0
87618c418ffffff,12.97103,80.26535,10,50.0
87618c418ffffff,12.97103,80.26535,11,50.0
87618c418ffffff,12.97103,80.26535,12,50.0
87618c418ffffff,12.97103,80.26535,13,50.0
87618c418ffffff,12.97103,80.26535,14,50.0
87618c418ffffff,12.97103,80.26535,15,50.0
87618c418ffffff,12.97103,80.26535,16,50.0
87618c418ffffff,12.97103,80.26535,17,50.0
87618c418ffffff,12.97103,80.26535,18,50.0
87618c418ffffff,12.97103,80.26535,19,50.0
87618c418ffffff,12.97103,80.26535,20,50.0
87618c418ffffff,12.97103,80.26535,21,50.0
87618c418ffffff,12.97103,80.26535,22,50.0
87618c418ffffff,12.97103,80.26535,23,50.0
87618c418ffffff,12.97103,80.26535,24,50.0
87618c418ffffff,12.97103,80.26535,25,50.0
87618c418ffffff,12.97103,80.26535,26,50.0
87618c418ffffff,12.97103,80.26535,27,50.0
87618c418ffffff,12.97103,80.26535,28,50.0
87618c418ffffff,12.97103,80.26535,29,50.0
87618c418ffffff,12.97103,80.26535,30,50.0
87618c418ffffff,12.97103,80.26535,31,50.0
87618c418ffffff,12.97103,80.26535,32,50.0
87618c418ffffff,12.97103,80.26535,33,50.0
87618c418ffffff,12.97103,80.26535,34,50.0
87618c418ffffff,12.97103,80.26535,35,50.0
87618c418ffffff,12.97103,80.26535,36,50.0
87618c418ffffff,12.97103,80.26535,37,50.0
87618c418ffffff,12.97103,80.26535,38,50.0
87618c418ffffff,12.97103,80.26535,39,50.0
87618c418ffffff,12.97103,80.26535,40,50.0
87618c418ffffff,12.97103,80.26535,41,50.0
87618c419ffffff,12.96374,80.2435,0,50.0
87618c419ffffff,12.96374,80.2435,1,50.0
87618c419ffffff,12.96374,80.2435,2,50.0
87618c419ffffff,12.96374,80.2435,3,50.0
87618c419ffffff,12.96374,80.2435,4,50.0
87618c419ffffff,12.96374,80.2435,5,50.0
87618c419ffffff,12.96374,80.2435,6,50.0
87618c419ffffff,12.96374,80.2435,7,50.0
87618c419ffffff,12.96374,80.2435,8,50.0
87618c419ffffff,12.96374,80.2435,9,50.0
87618c419ffffff,12.96374,80.2435,10,50.0
87618c419ffffff,12.96374,80.2435,11,50.0
87618c419ffffff,12.96374,80.2435,12,50.0
87618c419ffffff,12.96374,80.2435,13,50.0
87618c419ffffff,12.96374,80.2435,14,50.0
87618c419ffffff,12.96374,80.2435,15,50.0
87618c419ffffff,12.96374,80.2435,16,50.0
87618c419ffffff,12.96374,80.2435,17,50.0
87618c419ffffff,12.96374,80.2435,18,50.0
87618c419ffffff,12.96374,80.2435,19,50.0
87618c419ffffff,12.96374,80.2435,20,50.0
87618c419ffffff,12.96374,80.2435,21,50.0
87618c419ffffff,12.96374,80.2435,22,50.0
87618c419ffffff,12.96374,80.2435,23,50.0
87618c419ffffff,12.96374,80.2435,24,50.0
87618c419ffffff,12.96374,80.2435,25,50.0
87618c419ffffff,12.96374,80.2435,26,50.0
87618c419ffffff,12.96374,80.2435,27,50.0
87618c419ffffff,12.96374,80.2435,28,50.0
87618c419ffffff,12.96374,80.2435,29,50.0
87618c419ffffff,12.96374,80.2435,30,50.0
87618c419ffffff,12.96374,80.2435,31,50.0
87618c419ffffff,12.96374,80.2435,32,50.0
87618c419ffffff,12.96374,80.2435,33,50.0
87618c419ffffff,12.96374,80.2435,34,50.0
87618c419ffffff,12.96374,80.2435,35,50.0
87618c419ffffff,12.96374,80.2435,36,50.0
87618c419ffffff,12.96374,80.2435,37,50.0
87618c419ffffff,12.96374,80.2435,38,50.0
87618c419ffffff,12.96374,80.2435,39,50.0
87618c419ffffff,12.96374,80.2435,40,50.0
87618c419ffffff,12.96374,80.2435,41,50.0
87618c41affffff,12.99373,80.27026,0,50.0
87618c41affffff,12.99373,80.27026,1,50.0
87618c41affffff,12.99373,80.27026,2,50.0
87618c41affffff,12.99373,80.27026,3,50.0
87618c41affffff,12.99373,80.27026,4,50.0
87618c41affffff,12.99373,80.27026,5,50.0
87618c41affffff,12.99373,80.27026,6,50.0
87618c41affffff,12.99373,80.27026,7,50.0
87618c41affffff,12.99373,80.27026,8,50.0
87618c41affffff,12.99373,80.27026,9,50.0
87618c41affffff,12.99373,80.27026,10,50.0
87618c41affffff,12.99373,80.27026,11,50.0
87618c41affffff,12.99373,80.27026,12,50.0
87618c41affffff,12.99373,80.27026,13,50.0
87618c41affffff,12.99373,80.27026,14,50.0
87618c41affffff,12.99373,80.27026,15,50.0
87618c41affffff,12.99373,80.27026,16,50.0
87618c41affffff,12.99373,80.27026,17,50.0
87618c41affffff,12.99373,80.27026,18,50.0
87618c41affffff,12.99373,80.27026,19,50.0
87618c41affffff,12.99373,80.27026,20,50.0
87618c41affffff,12.99373,80.27026,21,50.0
87618c41affffff,12.99373,80.27026,22,50.0
87618c41affffff,12.99373,80.27026,23,50.0
87618c41affffff,12.99373,80.27026,24,50.0
87618c41affffff,12.99373,80.27026,25,50.0
87618c41affffff,12.99373,80.27026,26,50.0
87618c41affffff,12.99373,80.27026,27,50.0
87618c41affffff,12.99373,80.27026,28,50.0
87618c41affffff,12.99373,80.27026,29,50.0
87618c41affffff,12.99373,80.27026,30,50.0
87618c41affffff,12.99373,80.27026,31,50.0
87618c41affffff,12.99373,80.27026,32,50.0
87618c41affffff,12.99373,80.27026,33,50.0
87618c41affffff,12.99373,80.27026,34,50.0
87618c41affffff,12.99373,80.27026,35,50.0
87618c41affffff,12.99373,80.27026,36,50.0
87618c41affffff,12.99373,80.27026,37,50.0
87618c41affffff,12.99373,80.27026,38,50.0
87618c41affffff,12.99373,80.27026,39,50.0
87618c41affffff,12.99373,80.27026,40,50.0
87618c41affffff,12.99373,80.27026,41,50.0
87618c41bffffff,12.98644,80.24841,0,50.0
87618c41bffffff,12.98644,80.24841,1,50.0
87618c41bffffff,12.98644,80.24841,2,50.0
87618c41bffffff,12.98644,80.24841,3,50.0
87618c41bffffff,12.98644,80.24841,4,50.0
87618c41bffffff,12.98644,80.24841,5,50.0
87618c41bffffff,12.98644,80.24841,6,50.0
87618c41bffffff,12.98644,80.24841,7,50.0
87618c41bffffff,12.98644,80.24841,8,50.0
87618c41bffffff,12.98644,80.24841,9,50.0
87618c41bffffff,12.98644,80.24841,10,50.0
87618c41bffffff,12.98644,80.24841,11,50.0
87618c41bffffff,12.98644,80.24841,12,50.0
87618c41bffffff,12.98644,80.24841,13,50.0
87618c41bffffff,12.98644,80.24841,14,50.0
87618c41bffffff,12.98644,80.24841,15,50.0
87618c41bffffff,12.98644,80.24841,16,50.0
87618c41bffffff,12.98644,80.24841,17,50.0
87618c41bffffff,12.98644,80.24841,18,50.0
87618c41bffffff,12.98644,80.24841,19,50.0
87618c41bffffff,12.98644,80.24841,20,50.0
87618c41bffffff,12.98644,80.24841,21,50.0
87618c41bffffff,12.98644,80.24841,22,50.0
87618c41bffffff,12.98644,80.24841,23,50.0
87618c41bffffff,12.98644,80.24841,24,50.0
87618c41bffffff,12.98644,80.24841,25,50.0
87618c41bffffff,12.98644,80.24841,26,50.0
87618c41bffffff,12.98644,80.24841,27,50.0
87618c41bffffff,12.98644,80.24841,28,50.0
87618c41bffffff,12.98644,80.24841,29,50.0
87618c41bffffff,12.98644,80.24841,30,50.0
87618c41bffffff,12.98644,80.24841,31,50.0
87618c41bffffff,12.98644,80.24841,32,50.0
87618c41bffffff,12.98644,80.24841,33,50.0
87618c41bffffff,12.98644,80.24841,34,50.0
87618c41bffffff,12.98644,80.24841,35,50.0
87618c41bffffff,12.98644,80.24841,36,50.0
87618c41bffffff,12.98644,80.24841,37,50.0
87618c41bffffff,12.98644,80.24841,38,50.0
87618c41bffffff,12.98644,80.24841,39,50.0
87618c41bffffff,12.98644,80.24841,40,50.0
87618c41bffffff,12.98644,80.24841,41,50.0
87618c41cffffff,12.95563,80.28228,0,50.0
87618c41cffffff,12.95563,80.28228,1,50.0
87618c41cffffff,12.95563,80.28228,2,50.0
87618c41cffffff,12.95563,80.28228,3,50.0
87618c41cffffff,12.95563,80.28228,4,50.0
87618c41cffffff,12.95563,80.28228,5,50.0
87618c41cffffff,12.95563,80.28228,6,50.0
87618c41cffffff,12.95563,80.28228,7,50.0
87618c41cffffff,12.95563,80.28228,8,50.0
87618c41cffffff,12.95563,80.28228,9,50.0
87618c41cffffff,12.95563,80.28228,10,50.0
87618c41cffffff,12.95563,80.28228,11,50.0
87618c41cffffff,12.95563,80.28228,12,50.0
87618c41cffffff,12.95563,80.28228,13,50.0
87618c41cffffff,12.95563,80.28228,14,50.0
87618c41cffffff,12.95563,80.28228,15,50.0
87618c41cffffff,12.95563,80.28228,16,50.0
87618c41cffffff,12.95563,80.28228,17,50.0
87618c41cffffff,12.95563,80.28228,18,50.0
87618c41cffffff,12.95563,80.28228,19,50.0
87618c41cffffff,12.95563,80.28228,20,50.0
87618c41cffffff,12.95563,80.28228,21,50.0
87618c41cffffff,12.95563,80.28228,22,50.0
87618c41cffffff,12.95563,80.28228,23,50.0
87618c41cffffff,12.95563,80.28228,24,50.0
87618c41cffffff,12.95563,80.28228,25,50.0
87618c41cffffff,12.95563,80.28228,26,50.0
87618c41cffffff,12.95563,80.28228,27,50.0
87618c41cffffff,12.95563,80.28228,28,50.0
87618c41cffffff,12.95563,80.28228,29,50.0
87618c41cffffff,12.95563,80.28228,30,50.0
87618c41cffffff,12.95563,80.28228,31,50.0
87618c41cffffff,12.95563,80.28228,32,50.0
87618c41cffffff,12.95563,80.28228,33,50.0
87618c41cffffff,12.95563,80.28228,34,50.0
87618c41cffffff,12.95563,80.28228,35,50.0
87618c41cffffff,12.95563,80.28228,36,50.0
