# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Delhi. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
873da1020ffffff,28.51912,77.1613,76.5,491.5,289.0,220.0,83.0,90.5
873da1021ffffff,28.52811,77.18526,76.5,518.0,296.5,186.0,95.5,88.5
873da1024ffffff,28.53187,77.1405,77.0,500.0,278.5,222.0,66.5,88.0
873da1025ffffff,28.54086,77.16445,76.5,489.5,297.5,213.0,100.5,87.5
873da1026ffffff,28.51013,77.13735,76.5,471.5,283.5,245.0,81.5,88.5
873da102cffffff,28.53709,77.20922,74.5,547.5,296.0,157.0,85.0,87.0
873da102effffff,28.51535,77.20605,75.5,506.5,296.0,197.5,93.0,89.5
873da1044ffffff,28.54741,77.34667,77.5,475.5,338.5,186.0,78.5,100.5
873da1046ffffff,28.52567,77.34346,76.5,480.0,322.5,197.5,106.0,91.5
873da1055ffffff,28.50394,77.34025,75.5,472.0,332.0,196.0,233.5,99.5
873da1062ffffff,28.56019,77.3259,77.0,454.0,366.0,180.5,83.0,102.0
873da1063ffffff,28.56915,77.34988,77.0,497.0,302.0,201.0,76.0,96.0
873da1066ffffff,28.57298,77.30512,76.5,449.5,360.5,189.5,99.0,106.0
873da1070ffffff,28.52949,77.29872,76.5,483.5,334.5,182.0,73.0,104.5
873da1071ffffff,28.53845,77.32269,76.5,473.5,326.5,200.0,78.5,90.0
873da1072ffffff,28.50776,77.29553,76.5,489.0,305.0,206.0,104.5,94.5
873da1073ffffff,28.51672,77.31949,76.0,491.0,304.5,205.0,93.5,99.5
873da1108ffffff,28.56638,77.12282,77.0,528.0,287.0,185.0,72.5,93.5
873da1109ffffff,28.57538,77.14679,75.5,499.0,284.0,217.5,77.0,89.0
873da110affffff,28.54463,77.11968,77.5,495.5,271.5,233.0,71.5,92.0
873da110bffffff,28.55362,77.14364,77.0,482.5,289.5,227.5,85.0,88.5
873da110cffffff,28.57914,77.10199,77.5,506.0,307.5,186.0,82.0,93.0
873da110dffffff,28.58814,77.12596,77.0,516.0,283.0,201.0,72.0,87.5
873da110effffff,28.55738,77.09886,77.0,504.5,295.5,200.0,80.5,93.0
873da1118ffffff,28.51388,77.09259,76.5,492.0,301.0,206.5,74.0,85.5
873da1119ffffff,28.52288,77.11654,76.5,463.5,304.5,231.5,75.5,89.0
873da111bffffff,28.50114,77.1134,76.5,467.0,296.0,238.0,85.5,89.5
873da111dffffff,28.53563,77.09572,79.5,507.5,299.0,193.0,68.5,88.0
873da112bffffff,28.6009,77.10513,77.5,521.0,306.5,172.5,65.0,91.5
873da1146ffffff,28.61512,77.19791,73.5,522.0,292.0,186.0,86.5,93.0
873da114cffffff,28.64206,77.26991,75.5,498.5,308.5,193.0,97.0,111.0
873da114effffff,28.6203,77.26672,76.0,476.5,349.0,174.5,95.0,89.0
873da1152ffffff,28.54985,77.18842,74.5,551.5,294.5,154.5,84.5,89.5
873da1154ffffff,28.58437,77.17077,77.0,532.0,312.0,155.5,90.0,89.0
873da1156ffffff,28.56261,77.16761,75.5,499.0,289.5,211.5,93.0,88.0
873da1158ffffff,28.57679,77.26034,75.5,487.0,315.5,197.5,94.0,93.0
873da1159ffffff,28.58576,77.28433,76.0,477.0,329.0,193.5,98.0,91.5
873da115affffff,28.55504,77.25716,76.0,509.5,311.5,178.0,99.5,91.0
873da115bffffff,28.56401,77.28114,76.0,462.0,345.5,192.0,90.5,94.0
873da115dffffff,28.59854,77.26353,78.0,468.5,329.0,201.5,100.5,93.0
873da1168ffffff,28.67663,77.25228,76.5,513.0,311.5,175.5,80.0,101.5
873da116affffff,28.65485,77.24909,76.0,520.0,306.5,173.0,94.5,89.0
873da116cffffff,28.68942,77.23145,75.5,503.5,298.5,198.0,87.0,96.5
873da116dffffff,28.6984,77.25547,75.0,497.0,306.0,196.5,86.5,87.0
873da116effffff,28.66764,77.22827,76.5,540.0,289.5,171.5,92.5,94.5
873da1170ffffff,28.6189,77.1531,77.5,532.5,283.0,184.0,85.5,89.5
873da1171ffffff,28.62789,77.17709,75.5,488.5,316.5,195.5,102.0,94.5
873da1172ffffff,28.59713,77.14994,76.5,544.0,298.5,157.5,77.0,92.0
873da1173ffffff,28.60613,77.17393,74.5,545.5,295.5,159.0,96.5,90.5
873da1175ffffff,28.64067,77.15625,77.5,508.0,325.5,166.5,69.5,109.5
873da1176ffffff,28.6099,77.12911,77.5,485.0,316.5,199.0,68.0,104.0
873da18c1ffffff,28.72256,77.09997,77.5,487.5,284.0,228.5,76.0,99.5
873da18ceffffff,28.70978,77.12084,78.0,506.0,278.5,215.5,78.0,107.0
873da18ddffffff,28.68799,77.1177,78.5,498.5,292.5,209.0,84.0,85.5
873da18deffffff,28.6572,77.09055,78.0,517.5,309.0,173.0,73.5,86.0
873da1aa2ffffff,28.71252,77.3484,81.0,462.5,311.0,227.0,87.5,96.5
873da1aa6ffffff,28.72534,77.32757,76.5,489.0,307.0,204.5,87.5,95.0
873da1b90ffffff,28.724,77.21378,77.5,481.0,338.5,181.0,79.5,89.0
873da1b93ffffff,28.7112,77.23463,77.0,453.5,343.0,204.0,91.0,108.5
873da1b96ffffff,28.715,77.18975,77.5,499.5,340.0,160.0,92.5,109.0
873da1b9bffffff,28.71636,77.30353,77.5,484.5,281.5,234.0,76.5,97.5
873da1b9effffff,28.72019,77.25866,77.0,511.5,293.5,195.0,74.0,88.0
