# INERT PLACEHOLDER — NOT real data. No free historical traffic source exists.
# Flat value on every cell/month; MCDA traffic weight is set to 0 so this
# NEVER influences any ranking. Present only to keep the 3-stream shape.
zone,lat,lon,month,traffic
873da1020ffffff,28.51912,77.1613,0,50.0
873da1020ffffff,28.51912,77.1613,1,50.0
873da1020ffffff,28.51912,77.1613,2,50.0
873da1020ffffff,28.51912,77.1613,3,50.0
873da1020ffffff,28.51912,77.1613,4,50.0
873da1020ffffff,28.51912,77.1613,5,50.0
873da1020ffffff,28.51912,77.1613,6,50.0
873da1020ffffff,28.51912,77.1613,7,50.0
873da1020ffffff,28.51912,77.1613,8,50.0
873da1020ffffff,28.51912,77.1613,9,50.0
873da1020ffffff,28.51912,77.1613,10,50.0
873da1020ffffff,28.51912,77.1613,11,50.0
873da1020ffffff,28.51912,77.1613,12,50.0
873da1020ffffff,28.51912,77.1613,13,50.0
873da1020ffffff,28.51912,77.1613,14,50.0
873da1020ffffff,28.51912,77.1613,15,50.0
873da1020ffffff,28.51912,77.1613,16,50.0
873da1020ffffff,28.51912,77.1613,17,50.0
873da1020ffffff,28.51912,77.1613,18,50.0
873da1020ffffff,28.51912,77.1613,19,50.0
873da1020ffffff,28.51912,77.1613,20,50.0
873da1020ffffff,28.51912,77.1613,21,50.0
873da1020ffffff,28.51912,77.1613,22,50.0
873da1020ffffff,28.51912,77.1613,23,50.0
873da1020ffffff,28.51912,77.1613,24,50.0
873da1020ffffff,28.51912,77.1613,25,50.0
873da1020ffffff,28.51912,77.1613,26,50.0
873da1020ffffff,28.51912,77.1613,27,50.0
873da1020ffffff,28.51912,77.1613,28,50.0
873da1020ffffff,28.51912,77.1613,29,50.0
873da1020ffffff,28.51912,77.1613,30,50.0
873da1020ffffff,28.51912,77.1613,31,50.0
873da1020ffffff,28.51912,77.1613,32,50.0
873da1020ffffff,28.51912,77.1613,33,50.0
873da1020ffffff,28.51912,77.1613,34,50.0
873da1020ffffff,28.51912,77.1613,35,50.0
873da1020ffffff,28.51912,77.1613,36,50.0
873da1020ffffff,28.51912,77.1613,37,50.0
873da1020ffffff,28.51912,77.1613,38,50.0
873da1020ffffff,28.51912,77.1613,39,50.0
873da1020ffffff,28.51912,77.1613,40,50.0
873da1020ffffff,28.51912,77.1613,41,50.0
873da1021ffffff,28.52811,77.18526,0,50.0
873da1021ffffff,28.52811,77.18526,1,50.0
873da1021ffffff,28.52811,77.18526,2,50.0
873da1021ffffff,28.52811,77.18526,3,50.0
873da1021ffffff,28.52811,77.18526,4,50.0
873da1021ffffff,28.52811,77.18526,5,50.0
873da1021ffffff,28.52811,77.18526,6,50.0
