# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Mumbai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87608b006ffffff,18.92016,72.79039,0,171.6
87608b006ffffff,18.92016,72.79039,1,188.6
87608b006ffffff,18.92016,72.79039,2,155.6
87608b006ffffff,18.92016,72.79039,3,121.4
87608b006ffffff,18.92016,72.79039,4,72.4
87608b006ffffff,18.92016,72.79039,5,65.2
87608b006ffffff,18.92016,72.79039,6,69.3
87608b006ffffff,18.92016,72.79039,7,64.9
87608b006ffffff,18.92016,72.79039,8,69.2
87608b006ffffff,18.92016,72.79039,9,160.7
87608b006ffffff,18.92016,72.79039,10,168.0
87608b006ffffff,18.92016,72.79039,11,163.7
87608b006ffffff,18.92016,72.79039,12,159.8
87608b006ffffff,18.92016,72.79039,13,154.9
87608b006ffffff,18.92016,72.79039,14,128.1
87608b006ffffff,18.92016,72.79039,15,111.4
87608b006ffffff,18.92016,72.79039,16,82.3
87608b006ffffff,18.92016,72.79039,17,66.7
87608b006ffffff,18.92016,72.79039,18,72.2
87608b006ffffff,18.92016,72.79039,19,66.0
87608b006ffffff,18.92016,72.79039,20,64.4
87608b006ffffff,18.92016,72.79039,21,133.2
87608b006ffffff,18.92016,72.79039,22,178.0
87608b006ffffff,18.92016,72.79039,23,158.4
87608b006ffffff,18.92016,72.79039,24,167.8
87608b006ffffff,18.92016,72.79039,25,148.5
87608b006ffffff,18.92016,72.79039,26,134.1
87608b006ffffff,18.92016,72.79039,27,98.2
87608b006ffffff,18.92016,72.79039,28,81.1
87608b006ffffff,18.92016,72.79039,29,70.5
87608b006ffffff,18.92016,72.79039,30,65.5
87608b006ffffff,18.92016,72.79039,31,65.1
87608b006ffffff,18.92016,72.79039,32,67.0
87608b006ffffff,18.92016,72.79039,33,118.0
87608b006ffffff,18.92016,72.79039,34,156.3
87608b006ffffff,18.92016,72.79039,35,157.2
87608b006ffffff,18.92016,72.79039,36,155.0
87608b006ffffff,18.92016,72.79039,37,160.6
87608b006ffffff,18.92016,72.79039,38,121.2
87608b006ffffff,18.92016,72.79039,39,94.6
87608b006ffffff,18.92016,72.79039,40,71.0
87608b006ffffff,18.92016,72.79039,41,62.1
87608b010ffffff,18.96333,72.79851,0,171.6
87608b010ffffff,18.96333,72.79851,1,188.6
87608b010ffffff,18.96333,72.79851,2,155.6
87608b010ffffff,18.96333,72.79851,3,121.4
87608b010ffffff,18.96333,72.79851,4,72.4
87608b010ffffff,18.96333,72.79851,5,65.2
87608b010ffffff,18.96333,72.79851,6,69.3
87608b010ffffff,18.96333,72.79851,7,64.9
87608b010ffffff,18.96333,72.79851,8,69.2
87608b010ffffff,18.96333,72.79851,9,160.7
87608b010ffffff,18.96333,72.79851,10,168.0
87608b010ffffff,18.96333,72.79851,11,163.7
87608b010ffffff,18.96333,72.79851,12,159.8
87608b010ffffff,18.96333,72.79851,13,154.9
87608b010ffffff,18.96333,72.79851,14,128.1
87608b010ffffff,18.96333,72.79851,15,111.4
87608b010ffffff,18.96333,72.79851,16,82.3
87608b010ffffff,18.96333,72.79851,17,66.7
87608b010ffffff,18.96333,72.79851,18,72.2
87608b010ffffff,18.96333,72.79851,19,66.0
87608b010ffffff,18.96333,72.79851,20,64.4
87608b010ffffff,18.96333,72.79851,21,133.2
87608b010ffffff,18.96333,72.79851,22,178.0
87608b010ffffff,18.96333,72.79851,23,158.4
87608b010ffffff,18.96333,72.79851,24,167.8
87608b010ffffff,18.96333,72.79851,25,148.5
87608b010ffffff,18.96333,72.79851,26,134.1
87608b010ffffff,18.96333,72.79851,27,98.2
87608b010ffffff,18.96333,72.79851,28,81.1
87608b010ffffff,18.96333,72.79851,29,70.5
87608b010ffffff,18.96333,72.79851,30,65.5
87608b010ffffff,18.96333,72.79851,31,65.1
87608b010ffffff,18.96333,72.79851,32,67.0
87608b010ffffff,18.96333,72.79851,33,118.0
87608b010ffffff,18.96333,72.79851,34,156.3
87608b010ffffff,18.96333,72.79851,35,157.2
87608b010ffffff,18.96333,72.79851,36,155.0
87608b010ffffff,18.96333,72.79851,37,160.6
87608b010ffffff,18.96333,72.79851,38,121.2
87608b010ffffff,18.96333,72.79851,39,94.6
87608b010ffffff,18.96333,72.79851,40,71.0
87608b010ffffff,18.96333,72.79851,41,62.1
87608b012ffffff,18.98492,72.80257,0,171.6
87608b012ffffff,18.98492,72.80257,1,188.6
87608b012ffffff,18.98492,72.80257,2,155.6
87608b012ffffff,18.98492,72.80257,3,121.4
87608b012ffffff,18.98492,72.80257,4,72.4
87608b012ffffff,18.98492,72.80257,5,65.2
87608b012ffffff,18.98492,72.80257,6,69.3
87608b012ffffff,18.98492,72.80257,7,64.9
87608b012ffffff,18.98492,72.80257,8,69.2
87608b012ffffff,18.98492,72.80257,9,160.7
87608b012ffffff,18.98492,72.80257,10,168.0
87608b012ffffff,18.98492,72.80257,11,163.7
87608b012ffffff,18.98492,72.80257,12,159.8
87608b012ffffff,18.98492,72.80257,13,154.9
87608b012ffffff,18.98492,72.80257,14,128.1
87608b012ffffff,18.98492,72.80257,15,111.4
87608b012ffffff,18.98492,72.80257,16,82.3
87608b012ffffff,18.98492,72.80257,17,66.7
87608b012ffffff,18.98492,72.80257,18,72.2
87608b012ffffff,18.98492,72.80257,19,66.0
87608b012ffffff,18.98492,72.80257,20,64.4
87608b012ffffff,18.98492,72.80257,21,133.2
87608b012ffffff,18.98492,72.80257,22,178.0
87608b012ffffff,18.98492,72.80257,23,158.4
87608b012ffffff,18.98492,72.80257,24,167.8
87608b012ffffff,18.98492,72.80257,25,148.5
87608b012ffffff,18.98492,72.80257,26,134.1
87608b012ffffff,18.98492,72.80257,27,98.2
87608b012ffffff,18.98492,72.80257,28,81.1
87608b012ffffff,18.98492,72.80257,29,70.5
87608b012ffffff,18.98492,72.80257,30,65.5
87608b012ffffff,18.98492,72.80257,31,65.1
87608b012ffffff,18.98492,72.80257,32,67.0
87608b012ffffff,18.98492,72.80257,33,118.0
87608b012ffffff,18.98492,72.80257,34,156.3
87608b012ffffff,18.98492,72.80257,35,157.2
87608b012ffffff,18.98492,72.80257,36,155.0
87608b012ffffff,18.98492,72.80257,37,160.6
87608b012ffffff,18.98492,72.80257,38,121.2
87608b012ffffff,18.98492,72.80257,39,94.6
87608b012ffffff,18.98492,72.80257,40,71.0
87608b012ffffff,18.98492,72.80257,41,62.1
87608b014ffffff,18.95000,72.81467,0,171.6
87608b014ffffff,18.95000,72.81467,1,188.6
87608b014ffffff,18.95000,72.81467,2,155.6
87608b014ffffff,18.95000,72.81467,3,121.4
87608b014ffffff,18.95000,72.81467,4,72.4
87608b014ffffff,18.95000,72.81467,5,65.2
87608b014ffffff,18.95000,72.81467,6,69.3
87608b014ffffff,18.95000,72.81467,7,64.9
87608b014ffffff,18.95000,72.81467,8,69.2
87608b014ffffff,18.95000,72.81467,9,160.7
87608b014ffffff,18.95000,72.81467,10,168.0
87608b014ffffff,18.95000,72.81467,11,163.7
87608b014ffffff,18.95000,72.81467,12,159.8
87608b014ffffff,18.95000,72.81467,13,154.9
87608b014ffffff,18.95000,72.81467,14,128.1
87608b014ffffff,18.95000,72.81467,15,111.4
87608b014ffffff,18.95000,72.81467,16,82.3
87608b014ffffff,18.95000,72.81467,17,66.7
87608b014ffffff,18.95000,72.81467,18,72.2
87608b014ffffff,18.95000,72.81467,19,66.0
87608b014ffffff,18.95000,72.81467,20,64.4
87608b014ffffff,18.95000,72.81467,21,133.2
87608b014ffffff,18.95000,72.81467,22,178.0
87608b014ffffff,18.95000,72.81467,23,158.4
87608b014ffffff,18.95000,72.81467,24,167.8
87608b014ffffff,18.95000,72.81467,25,148.5
87608b014ffffff,18.95000,72.81467,26,134.1
87608b014ffffff,18.95000,72.81467,27,98.2
87608b014ffffff,18.95000,72.81467,28,81.1
87608b014ffffff,18.95000,72.81467,29,70.5
87608b014ffffff,18.95000,72.81467,30,65.5
87608b014ffffff,18.95000,72.81467,31,65.1
87608b014ffffff,18.95000,72.81467,32,67.0
87608b014ffffff,18.95000,72.81467,33,118.0
87608b014ffffff,18.95000,72.81467,34,156.3
87608b014ffffff,18.95000,72.81467,35,157.2
87608b014ffffff,18.95000,72.81467,36,155.0
87608b014ffffff,18.95000,72.81467,37,160.6
87608b014ffffff,18.95000,72.81467,38,121.2
87608b014ffffff,18.95000,72.81467,39,94.6
87608b014ffffff,18.95000,72.81467,40,71.0
87608b014ffffff,18.95000,72.81467,41,62.1
87608b015ffffff,18.94175,72.79445,0,171.6
87608b015ffffff,18.94175,72.79445,1,188.6
87608b015ffffff,18.94175,72.79445,2,155.6
87608b015ffffff,18.94175,72.79445,3,121.4
87608b015ffffff,18.94175,72.79445,4,72.4
87608b015ffffff,18.94175,72.79445,5,65.2
87608b015ffffff,18.94175,72.79445,6,69.3
87608b015ffffff,18.94175,72.79445,7,64.9
87608b015ffffff,18.94175,72.79445,8,69.2
87608b015ffffff,18.94175,72.79445,9,160.7
87608b015ffffff,18.94175,72.79445,10,168.0
87608b015ffffff,18.94175,72.79445,11,163.7
87608b015ffffff,18.94175,72.79445,12,159.8
87608b015ffffff,18.94175,72.79445,13,154.9
87608b015ffffff,18.94175,72.79445,14,128.1
87608b015ffffff,18.94175,72.79445,15,111.4
87608b015ffffff,18.94175,72.79445,16,82.3
87608b015ffffff,18.94175,72.79445,17,66.7
87608b015ffffff,18.94175,72.79445,18,72.2
87608b015ffffff,18.94175,72.79445,19,66.0
87608b015ffffff,18.94175,72.79445,20,64.4
87608b015ffffff,18.94175,72.79445,21,133.2
87608b015ffffff,18.94175,72.79445,22,178.0
87608b015ffffff,18.94175,72.79445,23,158.4
87608b015ffffff,18.94175,72.79445,24,167.8
87608b015ffffff,18.94175,72.79445,25,148.5
87608b015ffffff,18.94175,72.79445,26,134.1
87608b015ffffff,18.94175,72.79445,27,98.2
87608b015ffffff,18.94175,72.79445,28,81.1
87608b015ffffff,18.94175,72.79445,29,70.5
87608b015ffffff,18.94175,72.79445,30,65.5
87608b015ffffff,18.94175,72.79445,31,65.1
87608b015ffffff,18.94175,72.79445,32,67.0
87608b015ffffff,18.94175,72.79445,33,118.0
87608b015ffffff,18.94175,72.79445,34,156.3
87608b015ffffff,18.94175,72.79445,35,157.2
87608b015ffffff,18.94175,72.79445,36,155.0
87608b015ffffff,18.94175,72.79445,37,160.6
87608b015ffffff,18.94175,72.79445,38,121.2
87608b015ffffff,18.94175,72.79445,39,94.6
87608b015ffffff,18.94175,72.79445,40,71.0
87608b015ffffff,18.94175,72.79445,41,62.1
87608b016ffffff,18.97159,72.81873,0,171.6
87608b016ffffff,18.97159,72.81873,1,188.6
87608b016ffffff,18.97159,72.81873,2,155.6
87608b016ffffff,18.97159,72.81873,3,121.4
87608b016ffffff,18.97159,72.81873,4,72.4
87608b016ffffff,18.97159,72.81873,5,65.2
87608b016ffffff,18.97159,72.81873,6,69.3
87608b016ffffff,18.97159,72.81873,7,64.9
87608b016ffffff,18.97159,72.81873,8,69.2
87608b016ffffff,18.97159,72.81873,9,160.7
87608b016ffffff,18.97159,72.81873,10,168.0
87608b016ffffff,18.97159,72.81873,11,163.7
87608b016ffffff,18.97159,72.81873,12,159.8
87608b016ffffff,18.97159,72.81873,13,154.9
87608b016ffffff,18.97159,72.81873,14,128.1
87608b016ffffff,18.97159,72.81873,15,111.4
87608b016ffffff,18.97159,72.81873,16,82.3
87608b016ffffff,18.97159,72.81873,17,66.7
87608b016ffffff,18.97159,72.81873,18,72.2
87608b016ffffff,18.97159,72.81873,19,66.0
87608b016ffffff,18.97159,72.81873,20,64.4
87608b016ffffff,18.97159,72.81873,21,133.2
87608b016ffffff,18.97159,72.81873,22,178.0
87608b016ffffff,18.97159,72.81873,23,158.4
87608b016ffffff,18.97159,72.81873,24,167.8
87608b016ffffff,18.97159,72.81873,25,148.5
87608b016ffffff,18.97159,72.81873,26,134.1
87608b016ffffff,18.97159,72.81873,27,98.2
87608b016ffffff,18.97159,72.81873,28,81.1
87608b016ffffff,18.97159,72.81873,29,70.5
87608b016ffffff,18.97159,72.81873,30,65.5
87608b016ffffff,18.97159,72.81873,31,65.1
87608b016ffffff,18.97159,72.81873,32,67.0
87608b016ffffff,18.97159,72.81873,33,118.0
87608b016ffffff,18.97159,72.81873,34,156.3
87608b016ffffff,18.97159,72.81873,35,157.2
87608b016ffffff,18.97159,72.81873,36,155.0
87608b016ffffff,18.97159,72.81873,37,160.6
87608b016ffffff,18.97159,72.81873,38,121.2
87608b016ffffff,18.97159,72.81873,39,94.6
87608b016ffffff,18.97159,72.81873,40,71.0
87608b016ffffff,18.97159,72.81873,41,62.1
87608b032ffffff,18.93667,72.83083,0,171.6
87608b032ffffff,18.93667,72.83083,1,188.6
87608b032ffffff,18.93667,72.83083,2,155.6
87608b032ffffff,18.93667,72.83083,3,121.4
87608b032ffffff,18.93667,72.83083,4,72.4
87608b032ffffff,18.93667,72.83083,5,65.2
87608b032ffffff,18.93667,72.83083,6,69.3
87608b032ffffff,18.93667,72.83083,7,64.9
87608b032ffffff,18.93667,72.83083,8,69.2
87608b032ffffff,18.93667,72.83083,9,160.7
87608b032ffffff,18.93667,72.83083,10,168.0
87608b032ffffff,18.93667,72.83083,11,163.7
87608b032ffffff,18.93667,72.83083,12,159.8
87608b032ffffff,18.93667,72.83083,13,154.9
87608b032ffffff,18.93667,72.83083,14,128.1
87608b032ffffff,18.93667,72.83083,15,111.4
87608b032ffffff,18.93667,72.83083,16,82.3
87608b032ffffff,18.93667,72.83083,17,66.7
87608b032ffffff,18.93667,72.83083,18,72.2
87608b032ffffff,18.93667,72.83083,19,66.0
87608b032ffffff,18.93667,72.83083,20,64.4
87608b032ffffff,18.93667,72.83083,21,133.2
87608b032ffffff,18.93667,72.83083,22,178.0
87608b032ffffff,18.93667,72.83083,23,158.4
87608b032ffffff,18.93667,72.83083,24,167.8
87608b032ffffff,18.93667,72.83083,25,148.5
87608b032ffffff,18.93667,72.83083,26,134.1
87608b032ffffff,18.93667,72.83083,27,98.2
87608b032ffffff,18.93667,72.83083,28,81.1
87608b032ffffff,18.93667,72.83083,29,70.5
87608b032ffffff,18.93667,72.83083,30,65.5
87608b032ffffff,18.93667,72.83083,31,65.1
87608b032ffffff,18.93667,72.83083,32,67.0
87608b032ffffff,18.93667,72.83083,33,118.0
87608b032ffffff,18.93667,72.83083,34,156.3
87608b032ffffff,18.93667,72.83083,35,157.2
87608b032ffffff,18.93667,72.83083,36,155.0
87608b032ffffff,18.93667,72.83083,37,160.6
87608b032ffffff,18.93667,72.83083,38,121.2
87608b032ffffff,18.93667,72.83083,39,94.6
87608b032ffffff,18.93667,72.83083,40,71.0
87608b032ffffff,18.93667,72.83083,41,62.1
87608b033ffffff,18.92841,72.81061,0,171.6
87608b033ffffff,18.92841,72.81061,1,188.6
87608b033ffffff,18.92841,72.81061,2,155.6
87608b033ffffff,18.92841,72.81061,3,121.4
87608b033ffffff,18.92841,72.81061,4,72.4
87608b033ffffff,18.92841,72.81061,5,65.2
87608b033ffffff,18.92841,72.81061,6,69.3
87608b033ffffff,18.92841,72.81061,7,64.9
87608b033ffffff,18.92841,72.81061,8,69.2
87608b033ffffff,18.92841,72.81061,9,160.7
87608b033ffffff,18.92841,72.81061,10,168.0
87608b033ffffff,18.92841,72.81061,11,163.7
87608b033ffffff,18.92841,72.81061,12,159.8
87608b033ffffff,18.92841,72.81061,13,154.9
87608b033ffffff,18.92841,72.81061,14,128.1
87608b033ffffff,18.92841,72.81061,15,111.4
87608b033ffffff,18.92841,72.81061,16,82.3
87608b033ffffff,18.92841,72.81061,17,66.7
87608b033ffffff,18.92841,72.81061,18,72.2
87608b033ffffff,18.92841,72.81061,19,66.0
87608b033ffffff,18.92841,72.81061,20,64.4
87608b033ffffff,18.92841,72.81061,21,133.2
87608b033ffffff,18.92841,72.81061,22,178.0
87608b033ffffff,18.92841,72.81061,23,158.4
87608b033ffffff,18.92841,72.81061,24,167.8
87608b033ffffff,18.92841,72.81061,25,148.5
87608b033ffffff,18.92841,72.81061,26,134.1
87608b033ffffff,18.92841,72.81061,27,98.2
87608b033ffffff,18.92841,72.81061,28,81.1
87608b033ffffff,18.92841,72.81061,29,70.5
87608b033ffffff,18.92841,72.81061,30,65.5
87608b033ffffff,18.92841,72.81061,31,65.1
87608b033ffffff,18.92841,72.81061,32,67.0
87608b033ffffff,18.92841,72.81061,33,118.0
87608b033ffffff,18.92841,72.81061,34,156.3
87608b033ffffff,18.92841,72.81061,35,157.2
87608b033ffffff,18.92841,72.81061,36,155.0
87608b033ffffff,18.92841,72.81061,37,160.6
87608b033ffffff,18.92841,72.81061,38,121.2
87608b033ffffff,18.92841,72.81061,39,94.6
87608b033ffffff,18.92841,72.81061,40,71.0
87608b033ffffff,18.92841,72.81061,41,62.1
87608b036ffffff,18.92333,72.84700,0,171.6
87608b036ffffff,18.92333,72.84700,1,188.6
87608b036ffffff,18.92333,72.84700,2,155.6
87608b036ffffff,18.92333,72.84700,3,121.4
87608b036ffffff,18.92333,72.84700,4,72.4
87608b036ffffff,18.92333,72.84700,5,65.2
87608b036ffffff,18.92333,72.84700,6,69.3
87608b036ffffff,18.92333,72.84700,7,64.9
87608b036ffffff,18.92333,72.84700,8,69.2
87608b036ffffff,18.92333,72.84700,9,160.7
87608b036ffffff,18.92333,72.84700,10,168.0
87608b036ffffff,18.92333,72.84700,11,163.7
87608b036ffffff,18.92333,72.84700,12,159.8
87608b036ffffff,18.92333,72.84700,13,154.9
87608b036ffffff,18.92333,72.84700,14,128.1
87608b036ffffff,18.92333,72.84700,15,111.4
87608b036ffffff,18.92333,72.84700,16,82.3
87608b036ffffff,18.92333,72.84700,17,66.7
87608b036ffffff,18.92333,72.84700,18,72.2
87608b036ffffff,18.92333,72.84700,19,66.0
87608b036ffffff,18.92333,72.84700,20,64.4
87608b036ffffff,18.92333,72.84700,21,133.2
87608b036ffffff,18.92333,72.84700,22,178.0
87608b036ffffff,18.92333,72.84700,23,158.4
87608b036ffffff,18.92333,72.84700,24,167.8
87608b036ffffff,18.92333,72.84700,25,148.5
87608b036ffffff,18.92333,72.84700,26,134.1
87608b036ffffff,18.92333,72.84700,27,98.2
87608b036ffffff,18.92333,72.84700,28,81.1
87608b036ffffff,18.92333,72.84700,29,70.5
87608b036ffffff,18.92333,72.84700,30,65.5
87608b036ffffff,18.92333,72.84700,31,65.1
87608b036ffffff,18.92333,72.84700,32,67.0
87608b036ffffff,18.92333,72.84700,33,118.0
87608b036ffffff,18.92333,72.84700,34,156.3
87608b036ffffff,18.92333,72.84700,35,157.2
87608b036ffffff,18.92333,72.84700,36,155.0
87608b036ffffff,18.92333,72.84700,37,160.6
87608b036ffffff,18.92333,72.84700,38,121.2
87608b036ffffff,18.92333,72.84700,39,94.6
87608b036ffffff,18.92333,72.84700,40,71.0
87608b036ffffff,18.92333,72.84700,41,62.1
87608b080ffffff,19.06298,72.79859,0,174.6
87608b080ffffff,19.06298,72.79859,1,183.1
87608b080ffffff,19.06298,72.79859,2,164.6
87608b080ffffff,19.06298,72.79859,3,116.5
87608b080ffffff,19.06298,72.79859,4,79.6
87608b080ffffff,19.06298,72.79859,5,70.3
87608b080ffffff,19.06298,72.79859,6,70.6
87608b080ffffff,19.06298,72.79859,7,66.4
87608b080ffffff,19.06298,72.79859,8,70.4
87608b080ffffff,19.06298,72.79859,9,153.1
87608b080ffffff,19.06298,72.79859,10,169.4
87608b080ffffff,19.06298,72.79859,11,157.6
87608b080ffffff,19.06298,72.79859,12,150.6
87608b080ffffff,19.06298,72.79859,13,141.9
87608b080ffffff,19.06298,72.79859,14,121.0
87608b080ffffff,19.06298,72.79859,15,106.3
87608b080ffffff,19.06298,72.79859,16,86.5
87608b080ffffff,19.06298,72.79859,17,70.2
87608b080ffffff,19.06298,72.79859,18,74.6
87608b080ffffff,19.06298,72.79859,19,67.3
87608b080ffffff,19.06298,72.79859,20,66.6
87608b080ffffff,19.06298,72.79859,21,138.6
87608b080ffffff,19.06298,72.79859,22,176.7
87608b080ffffff,19.06298,72.79859,23,153.8
87608b080ffffff,19.06298,72.79859,24,162.2
87608b080ffffff,19.06298,72.79859,25,137.8
87608b080ffffff,19.06298,72.79859,26,132.6
87608b080ffffff,19.06298,72.79859,27,109.1
87608b080ffffff,19.06298,72.79859,28,87.4
87608b080ffffff,19.06298,72.79859,29,75.0
87608b080ffffff,19.06298,72.79859,30,70.3
87608b080ffffff,19.06298,72.79859,31,69.2
87608b080ffffff,19.06298,72.79859,32,69.8
87608b080ffffff,19.06298,72.79859,33,119.3
87608b080ffffff,19.06298,72.79859,34,154.5
87608b080ffffff,19.06298,72.79859,35,159.4
87608b080ffffff,19.06298,72.79859,36,151.5
87608b080ffffff,19.06298,72.79859,37,157.3
87608b080ffffff,19.06298,72.79859,38,117.1
87608b080ffffff,19.06298,72.79859,39,93.8
87608b080ffffff,19.06298,72.79859,40,73.7
87608b080ffffff,19.06298,72.79859,41,67.0
87608b082ffffff,19.08456,72.80265,0,174.6
87608b082ffffff,19.08456,72.80265,1,183.1
87608b082ffffff,19.08456,72.80265,2,164.6
87608b082ffffff,19.08456,72.80265,3,116.5
87608b082ffffff,19.08456,72.80265,4,79.6
87608b082ffffff,19.08456,72.80265,5,70.3
87608b082ffffff,19.08456,72.80265,6,70.6
87608b082ffffff,19.08456,72.80265,7,66.4
87608b082ffffff,19.08456,72.80265,8,70.4
87608b082ffffff,19.08456,72.80265,9,153.1
87608b082ffffff,19.08456,72.80265,10,169.4
87608b082ffffff,19.08456,72.80265,11,157.6
87608b082ffffff,19.08456,72.80265,12,150.6
87608b082ffffff,19.08456,72.80265,13,141.9
87608b082ffffff,19.08456,72.80265,14,121.0
87608b082ffffff,19.08456,72.80265,15,106.3
