# Real monthly NDVI from NASA MOD13Q1 250m 16-day via ORNL DAAC (no key).
# Mumbai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,ndvi
87608b010ffffff,18.96333,72.79851,0,0.326
87608b010ffffff,18.96333,72.79851,1,0.2776
87608b010ffffff,18.96333,72.79851,2,0.3238
87608b010ffffff,18.96333,72.79851,3,0.2991
87608b010ffffff,18.96333,72.79851,4,0.306
87608b010ffffff,18.96333,72.79851,5,0.18
87608b010ffffff,18.96333,72.79851,6,0.0357
87608b010ffffff,18.96333,72.79851,7,0.2513
87608b010ffffff,18.96333,72.79851,8,0.289
87608b010ffffff,18.96333,72.79851,9,0.3642
87608b010ffffff,18.96333,72.79851,10,0.4532
87608b010ffffff,18.96333,72.79851,11,0.2429
87608b010ffffff,18.96333,72.79851,12,0.2642
87608b010ffffff,18.96333,72.79851,13,0.2993
87608b010ffffff,18.96333,72.79851,14,0.2636
87608b010ffffff,18.96333,72.79851,15,0.2293
87608b010ffffff,18.96333,72.79851,16,0.3225
87608b010ffffff,18.96333,72.79851,17,0.2867
87608b010ffffff,18.96333,72.79851,18,0.0145
87608b010ffffff,18.96333,72.79851,19,0.2819
87608b010ffffff,18.96333,72.79851,20,0.3259
87608b010ffffff,18.96333,72.79851,21,0.4728
87608b010ffffff,18.96333,72.79851,22,0.4781
87608b010ffffff,18.96333,72.79851,23,0.3316
87608b010ffffff,18.96333,72.79851,24,0.2313
87608b010ffffff,18.96333,72.79851,25,0.2971
87608b010ffffff,18.96333,72.79851,26,0.2748
87608b010ffffff,18.96333,72.79851,27,0.2831
87608b010ffffff,18.96333,72.79851,28,0.1715
87608b010ffffff,18.96333,72.79851,29,0.0552
87608b010ffffff,18.96333,72.79851,30,0.2356
87608b010ffffff,18.96333,72.79851,31,0.2303
87608b010ffffff,18.96333,72.79851,32,0.2514
87608b010ffffff,18.96333,72.79851,33,0.0879
87608b010ffffff,18.96333,72.79851,34,0.483
87608b010ffffff,18.96333,72.79851,35,0.3138
87608b010ffffff,18.96333,72.79851,36,0.2903
87608b010ffffff,18.96333,72.79851,37,0.188
87608b010ffffff,18.96333,72.79851,38,0.2617
87608b010ffffff,18.96333,72.79851,39,0.254
87608b010ffffff,18.96333,72.79851,40,0.2384
87608b010ffffff,18.96333,72.79851,41,0.3051
87608b012ffffff,18.98492,72.80257,0,0.1295
87608b012ffffff,18.98492,72.80257,1,0.0854
87608b012ffffff,18.98492,72.80257,2,0.1668
87608b012ffffff,18.98492,72.80257,3,0.1578
87608b012ffffff,18.98492,72.80257,4,0.0578
87608b012ffffff,18.98492,72.80257,5,0.0422
87608b012ffffff,18.98492,72.80257,6,0.0218
87608b012ffffff,18.98492,72.80257,7,0.0693
87608b012ffffff,18.98492,72.80257,8,0.2755
87608b012ffffff,18.98492,72.80257,9,0.3181
87608b012ffffff,18.98492,72.80257,10,0.1534
87608b012ffffff,18.98492,72.80257,11,0.1093
87608b012ffffff,18.98492,72.80257,12,0.1695
87608b012ffffff,18.98492,72.80257,13,0.1767
87608b012ffffff,18.98492,72.80257,14,0.0414
87608b012ffffff,18.98492,72.80257,15,0.1653
87608b012ffffff,18.98492,72.80257,16,0.1065
87608b012ffffff,18.98492,72.80257,17,0.0576
87608b012ffffff,18.98492,72.80257,18,0.0118
87608b012ffffff,18.98492,72.80257,19,0.086
87608b012ffffff,18.98492,72.80257,20,0.1138
87608b012ffffff,18.98492,72.80257,21,0.3128
87608b012ffffff,18.98492,72.80257,22,0.1449
87608b012ffffff,18.98492,72.80257,23,0.19
87608b012ffffff,18.98492,72.80257,24,0.1
87608b012ffffff,18.98492,72.80257,25,0.0127
87608b012ffffff,18.98492,72.80257,26,0.1172
87608b012ffffff,18.98492,72.80257,27,0.1284
87608b012ffffff,18.98492,72.80257,28,0.0315
87608b012ffffff,18.98492,72.80257,29,0.0365
87608b012ffffff,18.98492,72.80257,30,0.0675
87608b012ffffff,18.98492,72.80257,31,0.0265
87608b012ffffff,18.98492,72.80257,32,0.0873
87608b012ffffff,18.98492,72.80257,34,0.2024
87608b012ffffff,18.98492,72.80257,35,0.1529
87608b012ffffff,18.98492,72.80257,36,0.2137
87608b012ffffff,18.98492,72.80257,37,0.0637
87608b012ffffff,18.98492,72.80257,38,0.0295
87608b012ffffff,18.98492,72.80257,39,0.0645
87608b012ffffff,18.98492,72.80257,40,0.0553
87608b012ffffff,18.98492,72.80257,41,0.1017
87608b014ffffff,18.95000,72.81467,0,0.1744
87608b014ffffff,18.95000,72.81467,1,0.1895
87608b014ffffff,18.95000,72.81467,2,0.4115
87608b014ffffff,18.95000,72.81467,3,0.2105
87608b014ffffff,18.95000,72.81467,4,0.2114
87608b014ffffff,18.95000,72.81467,5,0.0888
87608b014ffffff,18.95000,72.81467,6,0.0682
87608b014ffffff,18.95000,72.81467,7,0.1496
87608b014ffffff,18.95000,72.81467,8,0.2042
87608b014ffffff,18.95000,72.81467,9,0.2707
87608b014ffffff,18.95000,72.81467,10,0.3085
87608b014ffffff,18.95000,72.81467,11,0.3311
87608b014ffffff,18.95000,72.81467,12,0.229
87608b014ffffff,18.95000,72.81467,13,0.2112
87608b014ffffff,18.95000,72.81467,14,0.228
87608b014ffffff,18.95000,72.81467,15,0.2474
87608b014ffffff,18.95000,72.81467,16,0.1871
87608b014ffffff,18.95000,72.81467,17,0.1708
87608b014ffffff,18.95000,72.81467,18,0.0079
87608b014ffffff,18.95000,72.81467,19,0.1229
87608b014ffffff,18.95000,72.81467,20,0.294
87608b014ffffff,18.95000,72.81467,21,0.3267
87608b014ffffff,18.95000,72.81467,22,0.2301
87608b014ffffff,18.95000,72.81467,23,0.1745
87608b014ffffff,18.95000,72.81467,24,0.2073
87608b014ffffff,18.95000,72.81467,25,0.2281
87608b014ffffff,18.95000,72.81467,26,0.2437
87608b014ffffff,18.95000,72.81467,27,0.21
87608b014ffffff,18.95000,72.81467,28,0.1543
87608b014ffffff,18.95000,72.81467,29,0.0844
87608b014ffffff,18.95000,72.81467,30,0.1228
87608b014ffffff,18.95000,72.81467,31,0.092
87608b014ffffff,18.95000,72.81467,32,0.1324
87608b014ffffff,18.95000,72.81467,33,0.1821
87608b014ffffff,18.95000,72.81467,34,0.3093
87608b014ffffff,18.95000,72.81467,35,0.2464
87608b014ffffff,18.95000,72.81467,36,0.2512
87608b014ffffff,18.95000,72.81467,37,0.2572
