# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Mumbai. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
87608b182ffffff,18.99129,72.91587,65.0,354.0,312.0,334.0,294.5,357.0
87608b186ffffff,18.97794,72.93205,59.5,365.0,280.5,354.5,365.0,527.5
87608b190ffffff,19.02115,72.94021,65.0,325.0,301.5,374.0,543.5,430.0
87608b191ffffff,19.01289,72.91994,64.0,392.5,263.5,344.0,298.0,332.5
87608b193ffffff,19.03449,72.92402,64.5,366.5,288.5,345.0,271.5,287.5
87608b19cffffff,19.00463,72.89969,65.0,361.5,294.5,344.0,269.0,361.5
87608b19effffff,19.02623,72.90376,64.0,381.5,279.5,338.5,303.5,308.0
87608b1a6ffffff,18.92963,72.96034,64.0,375.0,275.5,350.0,248.0,343.5
87608b1b0ffffff,18.97285,72.9685,64.5,310.5,338.5,351.5,593.5,533.5
87608b1b1ffffff,18.96459,72.94824,59.0,386.5,257.5,355.5,362.5,541.0
87608b1b4ffffff,18.95949,72.98469,65.0,335.5,321.0,344.0,336.0,576.0
87608b1b5ffffff,18.95124,72.96442,65.0,366.5,275.5,358.0,237.0,397.0
87608b464ffffff,19.15254,72.87151,63.5,334.0,294.5,371.5,232.0,243.5
87608b466ffffff,19.17412,72.87558,65.0,314.5,321.0,364.5,224.5,261.5
87608b468ffffff,19.16258,72.79867,67.0,304.0,365.0,331.0,343.0,578.0
87608b46dffffff,19.14101,72.79461,62.0,310.0,375.0,315.5,353.0,561.0
87608b46effffff,19.17086,72.81891,66.0,271.5,383.5,345.5,324.5,454.0
87608b550ffffff,19.17232,72.96878,65.0,311.0,319.0,370.0,293.0,373.5
87608b558ffffff,19.16909,72.91203,59.0,354.0,259.0,387.5,291.5,261.0
87608b559ffffff,19.16081,72.89177,61.0,327.0,295.5,377.5,227.5,200.0
87608b55cffffff,19.15578,72.92822,62.5,350.5,264.0,386.0,255.5,256.0
87608b55dffffff,19.1475,72.90795,66.0,337.0,291.5,371.0,222.0,194.5
87608b55effffff,19.17736,72.9323,65.0,340.5,277.0,383.0,282.0,217.5
87608b570ffffff,19.12407,72.9971,64.5,307.0,334.5,358.5,250.5,261.0
87608b571ffffff,19.1158,72.97681,65.5,304.0,334.5,361.5,246.0,300.0
87608b574ffffff,19.11073,73.0133,65.0,322.5,312.5,364.5,223.0,188.5
87608b575ffffff,19.10247,72.99301,64.0,292.0,342.0,366.0,248.0,289.0
87608b576ffffff,19.13234,73.01739,65.5,335.5,299.0,366.0,214.0,201.0
87608bc58ffffff,18.92451,72.9968,64.5,311.5,341.5,347.0,249.5,226.5
87608bc5affffff,18.94612,73.00089,63.0,329.0,303.5,367.5,281.0,442.0
87608bc5bffffff,18.93787,72.98061,63.5,342.5,302.0,356.0,245.0,196.5
87608bc5effffff,18.93275,73.01708,63.5,337.5,303.5,359.0,216.0,231.0
87608bcccffffff,19.01096,73.01315,64.5,308.0,329.5,362.5,262.0,244.0
87608bce9ffffff,18.96774,73.00497,64.0,327.5,307.0,365.5,264.0,449.0
87608bcebffffff,18.98935,73.00906,65.0,317.0,320.5,362.5,413.0,245.0
