# INERT PLACEHOLDER — NOT real data. No free historical traffic source exists.
# Flat value on every cell/month; MCDA traffic weight is set to 0 so this
# NEVER influences any ranking. Present only to keep the 3-stream shape.
zone,lat,lon,month,traffic
87608b006ffffff,18.92016,72.79039,0,50.0
87608b006ffffff,18.92016,72.79039,1,50.0
87608b006ffffff,18.92016,72.79039,2,50.0
87608b006ffffff,18.92016,72.79039,3,50.0
87608b006ffffff,18.92016,72.79039,4,50.0
87608b006ffffff,18.92016,72.79039,5,50.0
87608b006ffffff,18.92016,72.79039,6,50.0
87608b006ffffff,18.92016,72.79039,7,50.0
87608b006ffffff,18.92016,72.79039,8,50.0
87608b006ffffff,18.92016,72.79039,9,50.0
87608b006ffffff,18.92016,72.79039,10,50.0
87608b006ffffff,18.92016,72.79039,11,50.0
87608b006ffffff,18.92016,72.79039,12,50.0
87608b006ffffff,18.92016,72.79039,13,50.0
87608b006ffffff,18.92016,72.79039,14,50.0
87608b006ffffff,18.92016,72.79039,15,50.0
87608b006ffffff,18.92016,72.79039,16,50.0
87608b006ffffff,18.92016,72.79039,17,50.0
87608b006ffffff,18.92016,72.79039,18,50.0
87608b006ffffff,18.92016,72.79039,19,50.0
87608b006ffffff,18.92016,72.79039,20,50.0
87608b006ffffff,18.92016,72.79039,21,50.0
87608b006ffffff,18.92016,72.79039,22,50.0
87608b006ffffff,18.92016,72.79039,23,50.0
87608b006ffffff,18.92016,72.79039,24,50.0
87608b006ffffff,18.92016,72.79039,25,50.0
87608b006ffffff,18.92016,72.79039,26,50.0
87608b006ffffff,18.92016,72.79039,27,50.0
87608b006ffffff,18.92016,72.79039,28,50.0
87608b006ffffff,18.92016,72.79039,29,50.0
87608b006ffffff,18.92016,72.79039,30,50.0
87608b006ffffff,18.92016,72.79039,31,50.0
87608b006ffffff,18.92016,72.79039,32,50.0
87608b006ffffff,18.92016,72.79039,33,50.0
87608b006ffffff,18.92016,72.79039,34,50.0
87608b006ffffff,18.92016,72.79039,35,50.0
87608b006ffffff,18.92016,72.79039,36,50.0
87608b006ffffff,18.92016,72.79039,37,50.0
87608b006ffffff,18.92016,72.79039,38,50.0
87608b006ffffff,18.92016,72.79039,39,50.0
87608b006ffffff,18.92016,72.79039,40,50.0
87608b006ffffff,18.92016,72.79039,41,50.0
87608b010ffffff,18.96333,72.79851,0,50.0
87608b010ffffff,18.96333,72.79851,1,50.0
87608b010ffffff,18.96333,72.79851,2,50.0
87608b010ffffff,18.96333,72.79851,3,50.0
87608b010ffffff,18.96333,72.79851,4,50.0
87608b010ffffff,18.96333,72.79851,5,50.0
87608b010ffffff,18.96333,72.79851,6,50.0
87608b010ffffff,18.96333,72.79851,7,50.0
87608b010ffffff,18.96333,72.79851,8,50.0
87608b010ffffff,18.96333,72.79851,9,50.0
87608b010ffffff,18.96333,72.79851,10,50.0
87608b010ffffff,18.96333,72.79851,11,50.0
87608b010ffffff,18.96333,72.79851,12,50.0
87608b010ffffff,18.96333,72.79851,13,50.0
87608b010ffffff,18.96333,72.79851,14,50.0
87608b010ffffff,18.96333,72.79851,15,50.0
