rank,zone,score,traffic_latest,aqi_latest,ndvi_latest,traffic_pred,aqi_pred,ndvi_pred,traffic_pred_delta,aqi_pred_delta,ndvi_pred_delta,ndvi_slope,plantable_space,n_sites,c_aqi_worsening,c_traffic_worsening,c_ndvi_decline,c_low_green_cover,c_plantable_space,species,soil_ph,soil_texture,soil_moisture
1,8742cc692ffffff,0.8293,50.0000,80.9000,0.1907,50.2563,96.4565,0.1247,0.2563,15.5565,-0.0660,-0.0007,0.6822,0,1.0000,0.1803,0.6441,0.9047,0.6822,Neem; Peepal; Banyan; Shisham,,,
2,8742cea6affffff,0.7743,50.0000,80.9000,0.1877,50.2563,96.4565,0.1254,0.2563,15.5565,-0.0623,-0.0003,0.6872,0,1.0000,0.1803,0.4786,0.9203,0.6872,Neem; Peepal; Banyan; Siris,7.2500,clay loam,
3,8742cc698ffffff,0.7687,50.0000,80.9000,0.2609,50.7626,92.9672,0.1563,0.7626,12.0672,-0.1046,-0.0013,0.5652,0,0.7854,0.4658,0.9057,0.5399,0.5652,Neem; Peepal; Banyan; Siris,7.5000,clay loam,
4,8742cc693ffffff,0.7680,50.0000,80.9000,0.1772,50.2563,96.4565,0.1029,0.2563,15.5565,-0.0743,-0.0002,0.7047,0,1.0000,0.1803,0.4323,0.9749,0.7047,Neem; Peepal; Banyan; Shisham,,,
5,8742cea6cffffff,0.7660,50.0000,80.9000,0.1528,50.6866,96.0352,0.0963,0.6866,15.1352,-0.0565,-0.0002,0.7453,0,0.9741,0.4230,0.4338,1.0000,0.7453,Neem; Peepal; Banyan; Shisham,,,
6,8742cc6b5ffffff,0.7560,50.0000,76.8000,0.2544,50.7626,88.3613,0.2139,0.7626,11.5613,-0.0405,-0.0012,0.5760,0,0.7542,0.4658,0.8875,0.5737,0.5760,Neem; Peepal; Banyan; Siris,7.4000,clay loam,
7,8742cc6b6ffffff,0.7559,50.0000,76.8000,0.2261,50.8305,91.9453,0.1792,0.8305,15.1453,-0.0469,-0.0004,0.6232,0,0.9747,0.5041,0.5588,0.7208,0.6232,Neem; Peepal; Banyan; Siris,7.4000,clay loam,
8,8742ceb4dffffff,0.7515,50.0000,76.8000,0.1776,50.2563,91.8505,0.1286,0.2563,15.0505,-0.0490,-0.0001,0.7040,0,0.9689,0.1803,0.4219,0.9728,0.7040,Neem; Peepal; Banyan; Shisham,,,
9,8742cea6dffffff,0.7455,50.0000,80.9000,0.1769,50.2563,96.4565,0.1244,0.2563,15.5565,-0.0525,0.0000,0.7052,0,1.0000,0.1803,0.3671,0.9765,0.7052,Neem; Peepal; Banyan; Arjun,7.3500,clay loam,
10,8742cea61ffffff,0.7436,50.0000,80.9000,0.2117,50.2563,96.4565,0.1221,0.2563,15.5565,-0.0896,-0.0002,0.6472,0,1.0000,0.1803,0.4559,0.7956,0.6472,Neem; Peepal; Banyan; Shisham,,,
11,8742cea6effffff,0.7419,50.0000,80.9000,0.1701,50.6866,96.0352,0.1035,0.6866,15.1352,-0.0666,-0.0000,0.7165,0,0.9741,0.4230,0.3732,1.0000,0.7165,,,,
12,8742cc69effffff,0.7402,50.0000,80.9000,0.1739,50.4927,95.1760,0.1159,0.4927,14.2760,-0.0580,-0.0002,0.7102,0,0.9212,0.3136,0.4338,0.9920,0.7102,,7.4000,clay loam,
13,8742cea45ffffff,0.7397,50.0000,78.3000,0.1540,50.2563,93.6269,0.1091,0.2563,15.3269,-0.0449,0.0000,0.7433,0,0.9859,0.1803,0.3458,1.0000,0.7433,,,,
14,8742ceb49ffffff,0.7385,50.0000,76.8000,0.2214,50.2440,88.4577,0.1388,0.2440,11.6577,-0.0826,-0.0009,0.6310,0,0.7602,0.1734,0.7415,0.7452,0.6310,,7.4000,clay loam,
15,8742cea63ffffff,0.7332,50.0000,80.9000,0.1928,50.2563,96.4565,0.1227,0.2563,15.5565,-0.0701,-0.0000,0.6787,0,1.0000,0.1803,0.3749,0.8938,0.6787,,,,
16,8742cc683ffffff,0.7328,50.0000,80.9000,0.2471,50.7626,92.9672,0.1716,0.7626,12.0672,-0.0755,-0.0009,0.5882,0,0.7854,0.4658,0.7660,0.6116,0.5882,,7.4000,clay loam,
17,8742cea55ffffff,0.7327,50.0000,78.3000,0.2516,50.8775,94.0386,0.2215,0.8775,15.7386,-0.0301,-0.0004,0.5807,0,1.0000,0.5306,0.5326,0.5882,0.5807,,7.3000,clay loam,
18,8742cea69ffffff,0.7321,50.0000,80.9000,0.1894,50.2563,96.4565,0.1297,0.2563,15.5565,-0.0597,0.0000,0.6843,0,1.0000,0.1803,0.3626,0.9115,0.6843,,7.4000,clay loam,
19,8742cea68ffffff,0.7279,50.0000,80.9000,0.1837,50.2563,96.4565,0.1195,0.2563,15.5565,-0.0642,0.0001,0.6938,0,1.0000,0.1803,0.3352,0.9411,0.6938,,7.3000,clay loam,
20,8742cea41ffffff,0.7245,50.0000,78.3000,0.2416,50.7626,90.1377,0.1630,0.7626,11.8377,-0.0786,-0.0009,0.5973,0,0.7712,0.4658,0.7435,0.6402,0.5973,,7.3000,clay loam,
21,8742cea44ffffff,0.7178,50.0000,78.3000,0.1507,50.6866,93.2057,0.1034,0.6866,14.9057,-0.0473,0.0001,0.7488,0,0.9600,0.4230,0.3112,1.0000,0.7488,,,,
22,8742cc695ffffff,0.7164,50.0000,80.9000,0.2841,50.7626,92.9672,0.2038,0.7626,12.0672,-0.0803,-0.0011,0.5265,0,0.7854,0.4658,0.8191,0.4193,0.5265,,7.5000,clay loam,
23,8742cc691ffffff,0.7145,50.0000,80.9000,0.1932,51.5162,94.8432,0.1773,1.5162,13.9432,-0.0159,-0.0002,0.6780,0,0.9008,0.8908,0.4361,0.8917,0.6780,,7.4000,clay loam,
24,8742ceb48ffffff,0.7121,50.0000,76.8000,0.1941,50.9959,91.0543,0.1077,0.9959,14.2543,-0.0864,-0.0001,0.6765,0,0.9199,0.5974,0.4097,0.8871,0.6765,,,,
25,8742cea62ffffff,0.7095,50.0000,74.7000,0.1652,50.2563,88.1565,0.1057,0.2563,13.4565,-0.0595,-0.0001,0.7247,0,0.8708,0.1803,0.3964,1.0000,0.7247,,,,
26,8742ceb4cffffff,0.7063,50.0000,76.8000,0.1705,50.6769,89.5796,0.1087,0.6769,12.7796,-0.0618,-0.0002,0.7158,0,0.8292,0.4175,0.4371,1.0000,0.7158,,7.4000,clay loam,
27,8742cea71ffffff,0.6955,50.0000,74.7000,0.1581,50.2563,88.1565,0.0982,0.2563,13.4565,-0.0599,0.0000,0.7365,0,0.8708,0.1803,0.3529,1.0000,0.7365,,,,
28,8742cc6b4ffffff,0.6792,50.0000,76.8000,0.2442,50.7626,88.3613,0.1862,0.7626,11.5613,-0.0580,-0.0006,0.5930,0,0.7542,0.4658,0.6405,0.6267,0.5930,,7.5000,clay loam,
29,8742cc690ffffff,0.6766,50.0000,80.9000,0.2535,50.7626,92.9672,0.1788,0.7626,12.0672,-0.0747,-0.0006,0.5775,0,0.7854,0.4658,0.6228,0.5784,0.5775,,7.2000,clay loam,
30,8742ceb5effffff,0.6755,50.0000,76.8000,0.2058,50.5328,89.6217,0.1611,0.5328,12.8217,-0.0447,-0.0002,0.6570,0,0.8318,0.3362,0.4375,0.8263,0.6570,,,,
31,8742ceb4effffff,0.6713,50.0000,76.8000,0.2145,50.2440,88.4577,0.1238,0.2440,11.6577,-0.0907,-0.0004,0.6425,0,0.7602,0.1734,0.5310,0.7811,0.6425,,,,
32,8742cea65ffffff,0.6711,50.0000,76.8000,0.2078,50.2440,88.4577,0.1222,0.2440,11.6577,-0.0856,-0.0003,0.6537,0,0.7602,0.1734,0.5124,0.8159,0.6537,,,,
33,8742cea2dffffff,0.6700,50.0000,74.7000,0.2121,50.2440,84.7637,0.1591,0.2440,10.0637,-0.0530,-0.0006,0.6465,0,0.6621,0.1734,0.6328,0.7935,0.6465,,7.3000,clay loam,
34,8742ceb5affffff,0.6681,50.0000,74.7000,0.2242,50.7626,84.6672,0.1445,0.7626,9.9672,-0.0797,-0.0007,0.6263,0,0.6562,0.4658,0.6670,0.7306,0.6263,,7.3000,clay loam,
35,8742ceb63ffffff,0.6609,50.0000,76.8000,0.2996,51.6462,84.6357,0.2996,1.6462,7.8357,-0.0000,-0.0016,0.5007,0,0.5250,0.9641,1.0000,0.3388,0.5007,,7.3000,clay loam,
36,8742cc79bffffff,0.6577,50.0000,76.8000,0.2673,50.7626,88.3613,0.2546,0.7626,11.5613,-0.0127,-0.0006,0.5545,0,0.7542,0.4658,0.6417,0.5067,0.5545,,7.5000,clay loam,
