rank,zone,score,traffic_latest,aqi_latest,ndvi_latest,traffic_pred,aqi_pred,ndvi_pred,traffic_pred_delta,aqi_pred_delta,ndvi_pred_delta,ndvi_slope,plantable_space,n_sites,c_aqi_worsening,c_traffic_worsening,c_ndvi_decline,c_low_green_cover,c_plantable_space,species,soil_ph,soil_texture,soil_moisture
1,876189255ffffff,0.7978,50.0000,49.9000,0.4240,50.0000,67.2146,0.3371,0.0000,17.3146,-0.0869,-0.0016,0.2933,0,1.0000,0.5000,0.8724,0.4205,0.2933,Palash; Pongamia (Karanj); Siris; Neem,6.4000,sandy clay loam,
2,876189274ffffff,0.7831,50.0000,49.9000,0.3659,50.0000,64.7844,0.3047,0.0000,14.8844,-0.0612,-0.0023,0.3902,0,0.7477,0.5000,1.0000,0.6334,0.3902,Siris; Neem; Shisham; Banyan,6.5000,sandy clay loam,
3,876189256ffffff,0.7615,50.0000,49.9000,0.4210,50.0000,66.9158,0.2827,0.0000,17.0158,-0.1383,-0.0013,0.2983,0,1.0000,0.5000,0.7626,0.4315,0.2983,Palash; Pongamia (Karanj); Siris; Neem,6.5000,sandy clay loam,
4,876189276ffffff,0.7257,50.0000,49.9000,0.3334,50.0000,64.1160,0.2336,0.0000,14.2160,-0.0998,-0.0016,0.4443,0,0.6686,0.5000,0.8599,0.7524,0.4443,Siris; Neem; Shisham; Banyan,6.4500,sandy clay loam,
5,876189270ffffff,0.7055,50.0000,49.9000,0.3438,50.0000,63.9994,0.2676,0.0000,14.0994,-0.0762,-0.0015,0.4270,0,0.6548,0.5000,0.8392,0.7143,0.4270,Siris; Neem; Shisham; Banyan,6.5000,sandy clay loam,
6,876189272ffffff,0.6989,50.0000,49.9000,0.3380,50.0000,64.0265,0.2355,0.0000,14.1265,-0.1025,-0.0015,0.4367,0,0.6580,0.5000,0.8050,0.7356,0.4367,Siris; Neem; Shisham; Banyan,6.5000,sandy clay loam,
7,876014516ffffff,0.6951,50.0000,49.9000,0.4059,50.0000,66.9158,0.2248,0.0000,17.0158,-0.1811,-0.0008,0.3235,0,1.0000,0.5000,0.5421,0.4868,0.3235,Palash; Pongamia (Karanj); Siris; Neem,6.5000,sandy clay loam,
8,876189273ffffff,0.6587,50.0000,49.9000,0.3611,50.0000,64.3321,0.2580,0.0000,14.4321,-0.1031,-0.0012,0.3982,0,0.6942,0.5000,0.6958,0.6509,0.3982,Siris; Neem; Shisham; Banyan,6.5500,sandy clay loam,
9,876189254ffffff,0.6546,50.0000,49.9000,0.2699,50.0000,64.1633,0.2307,0.0000,14.2633,-0.0392,-0.0007,0.5502,0,0.6742,0.5000,0.5204,0.9851,0.5502,Siris; Neem; Shisham; Banyan,6.5000,sandy clay loam,
10,876189271ffffff,0.6526,50.0000,49.9000,0.3153,50.0000,64.0237,0.2683,0.0000,14.1237,-0.0470,-0.0010,0.4745,0,0.6577,0.5000,0.6265,0.8187,0.4745,Siris; Neem; Shisham; Banyan,6.5000,sandy clay loam,
11,876014512ffffff,0.6509,50.0000,49.9000,0.3311,50.0000,64.1160,0.1700,0.0000,14.2160,-0.1611,-0.0010,0.4482,0,0.6686,0.5000,0.6415,0.7609,0.4482,,6.5000,sandy clay loam,
12,8761892ddffffff,0.6349,50.0000,48.8000,0.4355,50.0000,63.2351,0.2510,0.0000,14.4351,-0.1845,-0.0014,0.2742,0,0.6945,0.5000,0.7798,0.3784,0.2742,,6.6000,sandy clay loam,
13,87618924bffffff,0.6267,50.0000,49.9000,0.2571,50.0000,64.0793,0.1956,0.0000,14.1793,-0.0615,-0.0005,0.5715,0,0.6643,0.5000,0.4395,1.0000,0.5715,,,,
14,8760145a8ffffff,0.6023,50.0000,49.9000,0.4136,50.0000,66.6934,0.2152,0.0000,16.7934,-0.1984,-0.0002,0.3107,0,0.9737,0.5000,0.3228,0.4586,0.3107,,6.5500,sandy clay loam,
15,876189251ffffff,0.5994,50.0000,49.9000,0.4491,50.0000,66.9158,0.3850,0.0000,17.0158,-0.0641,-0.0003,0.2515,0,1.0000,0.5000,0.3569,0.3285,0.2515,,6.5000,sandy clay loam,
16,8761892e4ffffff,0.5955,50.0000,49.9000,0.3231,50.0000,64.1160,0.2197,0.0000,14.2160,-0.1034,-0.0006,0.4615,0,0.6686,0.5000,0.4667,0.7902,0.4615,,,,
17,876014585ffffff,0.5861,50.0000,49.9000,0.3183,50.0000,63.9777,0.1256,0.0000,14.0777,-0.1927,-0.0005,0.4695,0,0.6522,0.5000,0.4489,0.8077,0.4695,,6.4500,sandy clay loam,
18,8761892e5ffffff,0.5830,50.0000,49.9000,0.3599,50.0000,64.3321,0.2050,0.0000,14.4321,-0.1549,-0.0006,0.4002,0,0.6942,0.5000,0.4771,0.6553,0.4002,,,,
19,87618924cffffff,0.5691,50.0000,49.9000,0.2960,50.0000,64.0889,0.2458,0.0000,14.1889,-0.0502,-0.0003,0.5067,0,0.6654,0.5000,0.3396,0.8894,0.5067,,,,
20,876014581ffffff,0.5685,50.0000,49.9000,0.3881,50.0000,64.8703,0.2010,0.0000,14.9703,-0.1871,-0.0005,0.3532,0,0.7579,0.5000,0.4207,0.5520,0.3532,,6.5000,sandy clay loam,
21,8760145a1ffffff,0.5629,50.0000,49.9000,0.4045,50.0000,65.2457,0.2047,0.0000,15.3457,-0.1998,-0.0004,0.3258,0,0.8023,0.5000,0.3874,0.4919,0.3258,,6.4500,sandy clay loam,
22,87618924effffff,0.5538,50.0000,49.9000,0.2695,50.0000,63.6158,0.2206,0.0000,13.7158,-0.0489,-0.0002,0.5508,0,0.6094,0.5000,0.3058,0.9865,0.5508,,6.3000,sandy clay loam,
23,8760145aaffffff,0.5522,50.0000,49.9000,0.3848,50.0000,64.8703,0.2147,0.0000,14.9703,-0.1701,-0.0003,0.3587,0,0.7579,0.5000,0.3674,0.5641,0.3587,,6.4000,sandy clay loam,
24,8760145acffffff,0.5469,50.0000,49.9000,0.4096,50.0000,66.9158,0.2429,0.0000,17.0158,-0.1667,0.0003,0.3173,0,1.0000,0.5000,0.1263,0.4733,0.3173,,6.5000,sandy clay loam,
25,8761892edffffff,0.5461,50.0000,49.9000,0.4148,50.0000,66.7213,0.2678,0.0000,16.8213,-0.1470,0.0002,0.3087,0,0.9770,0.5000,0.1608,0.4542,0.3087,,6.4500,sandy clay loam,
26,8761892c3ffffff,0.5429,50.0000,48.8000,0.4190,50.0000,62.8210,0.2333,0.0000,14.0210,-0.1857,-0.0008,0.3017,0,0.6455,0.5000,0.5393,0.4388,0.3017,,6.6000,sandy clay loam,
27,8761892e1ffffff,0.5385,50.0000,49.9000,0.3339,50.0000,63.0888,0.2074,0.0000,13.1888,-0.1265,-0.0006,0.4435,0,0.5470,0.5000,0.4650,0.7506,0.4435,,6.4000,sandy clay loam,
28,8760145a5ffffff,0.5285,50.0000,49.9000,0.3263,50.0000,64.1160,0.1818,0.0000,14.2160,-0.1445,-0.0001,0.4562,0,0.6686,0.5000,0.2819,0.7784,0.4562,,6.4000,sandy clay loam,
29,8761892c4ffffff,0.5203,50.0000,48.8000,0.2838,50.0000,58.6858,0.1542,0.0000,9.8858,-0.1296,-0.0013,0.5270,0,0.1561,0.5000,0.7572,0.9341,0.5270,,6.5000,sandy clay loam,
30,8761892e2ffffff,0.5120,50.0000,48.8000,0.3774,50.0000,59.9544,0.2550,0.0000,11.1544,-0.1224,-0.0013,0.3710,0,0.3062,0.5000,0.7535,0.5912,0.3710,,,,
31,87618925dffffff,0.5099,50.0000,49.9000,0.2573,50.0000,62.6166,0.1880,0.0000,12.7166,-0.0693,-0.0002,0.5712,0,0.4911,0.5000,0.3037,1.0000,0.5712,,,,
32,87618924affffff,0.5077,50.0000,49.9000,0.2661,50.0000,62.5859,0.1999,0.0000,12.6859,-0.0662,-0.0002,0.5565,0,0.4875,0.5000,0.3062,0.9990,0.5565,,,,
33,87618925cffffff,0.5046,50.0000,49.9000,0.3167,50.0000,64.1160,0.2492,0.0000,14.2160,-0.0675,0.0001,0.4722,0,0.6686,0.5000,0.1940,0.8136,0.4722,,,,
34,876014580ffffff,0.5046,50.0000,49.9000,0.3183,50.0000,64.1160,0.1671,0.0000,14.2160,-0.1512,0.0001,0.4695,0,0.6686,0.5000,0.1973,0.8077,0.4695,,,,
35,8761892ecffffff,0.5046,50.0000,49.9000,0.4386,50.0000,66.9158,0.2866,0.0000,17.0158,-0.1520,0.0005,0.2690,0,1.0000,0.5000,0.0647,0.3670,0.2690,,,,
