rank,zone,score,traffic_latest,aqi_latest,ndvi_latest,traffic_pred,aqi_pred,ndvi_pred,traffic_pred_delta,aqi_pred_delta,ndvi_pred_delta,ndvi_slope,plantable_space,n_sites,c_aqi_worsening,c_traffic_worsening,c_ndvi_decline,c_low_green_cover,c_plantable_space,species,soil_ph,soil_texture,soil_moisture
1,873da1ab3ffffff,0.9124,50.0000,300.6000,0.2202,50.0000,300.2345,0.2519,0.0000,-0.3655,0.0317,-0.0008,0.6330,0,0.9449,0.5000,0.9345,0.9607,0.6330,Siris; Neem; Shisham; Banyan,,,
2,873da1163ffffff,0.9078,50.0000,300.6000,0.2684,50.0000,303.2768,0.2650,0.0000,2.6768,-0.0034,-0.0011,0.5527,0,0.9560,0.5000,1.0000,0.8012,0.5527,Siris; Neem; Shisham; Banyan,,,
3,873da1b98ffffff,0.8703,50.0000,300.6000,0.1407,50.0000,301.7184,0.1720,0.0000,1.1184,0.0313,-0.0004,0.7655,0,0.9503,0.5000,0.7532,1.0000,0.7655,Siris; Neem; Shisham; Banyan,,,
4,873da1175ffffff,0.8377,50.0000,300.6000,0.3237,50.0000,280.3697,0.3444,0.0000,-20.2303,0.0207,-0.0010,0.4605,0,0.8723,0.5000,1.0000,0.6182,0.4605,Palash; Pongamia (Karanj); Siris; Neem,,,
5,873da1b9affffff,0.8314,50.0000,300.6000,0.1711,50.0000,301.7184,0.1974,0.0000,1.1184,0.0263,-0.0003,0.7148,0,0.9503,0.5000,0.6565,1.0000,0.7148,Siris; Neem; Shisham; Banyan,,,
6,873da1b9effffff,0.8265,50.0000,300.6000,0.2162,50.0000,306.7998,0.2306,0.0000,6.1998,0.0144,-0.0003,0.6397,0,0.9689,0.5000,0.6541,0.9739,0.6397,Siris; Neem; Shisham; Banyan,,,
7,873da1ab1ffffff,0.8134,50.0000,300.6000,0.2185,50.0000,306.7998,0.2775,0.0000,6.1998,0.0590,-0.0002,0.6358,0,0.9689,0.5000,0.6210,0.9663,0.6358,Siris; Neem; Shisham; Banyan,,,
8,873da1aa2ffffff,0.8103,50.0000,300.6000,0.3580,50.0000,315.3228,0.5551,0.0000,14.7228,0.1971,-0.0006,0.4033,0,1.0000,0.5000,0.8408,0.5047,0.4033,Palash; Pongamia (Karanj); Bakul (Maulsari); Putranjiva,,,
9,873da1a96ffffff,0.8094,50.0000,300.6000,0.2170,50.0000,307.4359,0.2401,0.0000,6.8359,0.0231,-0.0002,0.6383,0,0.9712,0.5000,0.6040,0.9713,0.6383,Siris; Neem; Shisham; Banyan,,,
10,873da114dffffff,0.7989,50.0000,300.6000,0.2147,50.0000,298.4494,0.2254,0.0000,-2.1506,0.0107,-0.0002,0.6422,0,0.9383,0.5000,0.6073,0.9789,0.6422,Siris; Neem; Shisham; Banyan,,,
